Noise_Intensity,Non_Seizure_SNR_dB,Non_Seizure_SNR_STD,Seizure_SNR_dB,Seizure_SNR_STD,Non_Seizure_Transitions,Seizure_Transitions
0.5,-8.722465231818395,4.166134649663319,-9.175084265230705,4.244272682057004,32.85,31.0
0.6,-6.08325512828966,3.9754779302212553,-8.277064838030753,3.782477322820382,26.35,32.15
0.7,-5.493925598760896,3.6050877199098963,-8.64457943669372,4.953482855271963,31.5,41.5
0.7999999999999999,-6.116609733953018,4.406606680503528,-9.218686375166955,4.503827965838636,48.05,33.45
0.8999999999999999,-7.042461766772767,3.3355544454325585,-7.3825157051406265,4.567265560538741,42.4,42.6
0.9999999999999999,-5.50511877473304,3.441378615563289,-6.959779016403037,3.5644113028184696,45.7,39.45
1.0999999999999999,-5.802215017031079,4.0462184499305724,-9.217076878171763,3.3092789944469536,47.4,46.05
1.1999999999999997,-5.338393849290254,3.1309638900516656,-9.236288032464373,3.6050854081768895,52.35,51.6
1.2999999999999998,-6.427823575841126,3.78372710279067,-7.088766119730719,2.991689657848706,57.3,50.45
1.4,-4.62780003273179,3.505196806121437,-7.744079131199794,3.221572398345426,59.2,49.65
1.4999999999999998,-4.992400423458279,2.9178677496111765,-8.293271539694118,4.3056020664841155,61.3,56.1
1.5999999999999996,-5.367937576681633,3.922340823411735,-7.725039737352195,4.247556667490042,57.5,59.7
1.6999999999999997,-4.099306023310452,3.6110990369013285,-8.567102645064645,3.844011252364628,49.9,49.8
1.7999999999999998,-4.94220645880125,3.590796377965266,-6.243554923771393,2.9125586162703576,57.3,65.6
1.8999999999999997,-5.486472402699446,2.932674401555148,-8.116063895692907,3.693082831125922,68.3,52.8
1.9999999999999996,-4.419029032836162,3.3551222880185807,-6.395461989846707,3.0152826784437536,61.55,62.0
2.0999999999999996,-4.418083219997908,4.104817054545615,-8.049240679444642,3.538491580196081,57.35,64.9
2.1999999999999997,-4.795645500403841,2.8053534267373337,-7.3796314327714665,3.6238745170114552,61.25,65.6
