accuracy,precision,recall,f1,roc_auc,average_precision,tn,fp,fn,tp,windows,model,seed,test_patient,threshold
0.9941550986327106,0.7978723404255319,0.6696428571428571,0.7281553398058253,0.9878183320006638,0.8083729630164063,9450,19,37,75,9581,canonical330,42,chb01,0.95
0.9503458059939706,0.06934306569343066,0.4318181818181818,0.11949685534591195,0.7924993906897392,0.24747401075463274,5340,255,25,19,5639,canonical330,42,chb02,0.95
0.9908080808080808,0.7307692307692307,0.18446601941747573,0.29457364341085274,0.7972333516005989,0.4159871877082163,9790,7,84,19,9900,canonical330,42,chb03,0.95
0.9495186373734881,0.21199143468950749,0.7071428571428572,0.3261943986820428,0.8478258334230452,0.5987403263004542,7594,368,41,99,8102,canonical330,42,chb05,0.95
0.9636507936507936,0.5040322580645161,0.5411255411255411,0.5219206680584552,0.9070626468056028,0.5072143730908227,5946,123,106,125,6300,canonical330,42,chb08,0.95
0.9941550986327106,0.7916666666666666,0.6785714285714286,0.7307692307692307,0.9884038893834015,0.8032904572368208,9449,20,36,76,9581,sr332,42,chb01,0.95
0.9299521191700656,0.04884318766066838,0.4318181818181818,0.08775981524249422,0.7888272808514095,0.21908961049990142,5225,370,25,19,5639,sr332,42,chb02,0.95
0.9908080808080808,0.7307692307692307,0.18446601941747573,0.29457364341085274,0.7890438027888467,0.43024465639143894,9790,7,84,19,9900,sr332,42,chb03,0.95
0.9500123426314491,0.20489977728285078,0.6571428571428571,0.31239388794567063,0.8252570244375066,0.5681005022488144,7605,357,48,92,8102,sr332,42,chb05,0.95
0.9634920634920635,0.5020576131687243,0.5281385281385281,0.5147679324894515,0.9051734775906797,0.49464134463507387,5948,121,109,122,6300,sr332,42,chb08,0.95
