feature,coefficient,model,test_patient
time__mean__C3-P3,-0.01460572759596365,canonical330,chb01
time__std__C3-P3,0.3010179260983662,canonical330,chb01
time__rms__C3-P3,0.35141789368580295,canonical330,chb01
time__ptp__C3-P3,-0.6601007339485714,canonical330,chb01
time__line_length__C3-P3,1.6314969080682198,canonical330,chb01
time__mean__C4-P4,0.03835542815348566,canonical330,chb01
time__std__C4-P4,0.9244007048145421,canonical330,chb01
time__rms__C4-P4,0.8852158523131464,canonical330,chb01
time__ptp__C4-P4,0.24532668537332036,canonical330,chb01
time__line_length__C4-P4,-0.2826497145132991,canonical330,chb01
time__mean__CZ-PZ,0.05247871022544115,canonical330,chb01
time__std__CZ-PZ,0.9909223552842269,canonical330,chb01
time__rms__CZ-PZ,1.0336566032855814,canonical330,chb01
time__ptp__CZ-PZ,-0.843385005558914,canonical330,chb01
time__line_length__CZ-PZ,-0.3676419488016302,canonical330,chb01
time__mean__F3-C3,-0.057312871000266774,canonical330,chb01
time__std__F3-C3,-1.5125128586886591,canonical330,chb01
time__rms__F3-C3,-1.5532043556567976,canonical330,chb01
time__ptp__F3-C3,0.6943725954938686,canonical330,chb01
time__line_length__F3-C3,1.1641434404083357,canonical330,chb01
time__mean__F4-C4,0.011528853843608126,canonical330,chb01
time__std__F4-C4,-0.740109539023587,canonical330,chb01
time__rms__F4-C4,-0.48112633691721196,canonical330,chb01
time__ptp__F4-C4,0.44194113734494994,canonical330,chb01
time__line_length__F4-C4,-0.8305422633530909,canonical330,chb01
time__mean__F7-T7,-0.02289974028784622,canonical330,chb01
time__std__F7-T7,-0.6471060289684762,canonical330,chb01
time__rms__F7-T7,-0.6031862494671423,canonical330,chb01
time__ptp__F7-T7,-1.3248431180305453,canonical330,chb01
time__line_length__F7-T7,-1.0633166782918089,canonical330,chb01
time__mean__F8-T8,-0.022131528918959253,canonical330,chb01
time__std__F8-T8,-1.3541049419875524,canonical330,chb01
time__rms__F8-T8,-1.4348500893772445,canonical330,chb01
time__ptp__F8-T8,0.710157831546673,canonical330,chb01
time__line_length__F8-T8,-0.8370969787613074,canonical330,chb01
time__mean__FP1-F3,0.25582747652102655,canonical330,chb01
time__std__FP1-F3,0.08775269554543642,canonical330,chb01
time__rms__FP1-F3,0.12491548875742822,canonical330,chb01
time__ptp__FP1-F3,1.1535015158597177,canonical330,chb01
time__line_length__FP1-F3,-0.17224421057044392,canonical330,chb01
time__mean__FP1-F7,-0.23119852112818456,canonical330,chb01
time__std__FP1-F7,-0.5330835093587157,canonical330,chb01
time__rms__FP1-F7,-0.5484656133902752,canonical330,chb01
time__ptp__FP1-F7,-0.031660644841566284,canonical330,chb01
time__line_length__FP1-F7,1.644949760017428,canonical330,chb01
time__mean__FP2-F4,0.3045110618201118,canonical330,chb01
time__std__FP2-F4,0.039541780765796966,canonical330,chb01
time__rms__FP2-F4,0.25121575949355773,canonical330,chb01
time__ptp__FP2-F4,-0.8606999170066694,canonical330,chb01
time__line_length__FP2-F4,0.9715277691532536,canonical330,chb01
time__mean__FP2-F8,0.07120787527823663,canonical330,chb01
time__std__FP2-F8,-0.39676643328317923,canonical330,chb01
time__rms__FP2-F8,-0.20436406875340338,canonical330,chb01
time__ptp__FP2-F8,1.7863523447484584,canonical330,chb01
time__line_length__FP2-F8,-0.5561865779852749,canonical330,chb01
time__mean__FT10-T8,-0.06899570014137434,canonical330,chb01
time__std__FT10-T8,1.430310594536337,canonical330,chb01
time__rms__FT10-T8,1.3399418476168825,canonical330,chb01
time__ptp__FT10-T8,-0.884704967137906,canonical330,chb01
time__line_length__FT10-T8,1.2709208541025798,canonical330,chb01
time__mean__FT9-FT10,-0.3111407796439699,canonical330,chb01
time__std__FT9-FT10,0.2614607052823134,canonical330,chb01
time__rms__FT9-FT10,-0.08110521791687327,canonical330,chb01
time__ptp__FT9-FT10,-0.732648620939003,canonical330,chb01
time__line_length__FT9-FT10,5.329938004457798,canonical330,chb01
time__mean__FZ-CZ,0.08706065742148812,canonical330,chb01
time__std__FZ-CZ,0.4129677532458803,canonical330,chb01
time__rms__FZ-CZ,0.45255970016701585,canonical330,chb01
time__ptp__FZ-CZ,-0.8117029434501746,canonical330,chb01
time__line_length__FZ-CZ,0.14172756495385203,canonical330,chb01
time__mean__P3-O1,0.1532795614662098,canonical330,chb01
time__std__P3-O1,-1.6855291380546302,canonical330,chb01
time__rms__P3-O1,-1.7371996171654542,canonical330,chb01
time__ptp__P3-O1,1.3140373904474167,canonical330,chb01
time__line_length__P3-O1,-0.5313913232956061,canonical330,chb01
time__mean__P4-O2,-0.054236752742286336,canonical330,chb01
time__std__P4-O2,-0.0791883705951677,canonical330,chb01
time__rms__P4-O2,-0.16502704529583176,canonical330,chb01
time__ptp__P4-O2,0.15442453441229992,canonical330,chb01
time__line_length__P4-O2,-0.5410686345443749,canonical330,chb01
time__mean__P7-O1,0.04077348094328439,canonical330,chb01
time__std__P7-O1,1.085313848316465,canonical330,chb01
time__rms__P7-O1,0.94444841993858,canonical330,chb01
time__ptp__P7-O1,-2.389093943414361,canonical330,chb01
time__line_length__P7-O1,3.215150211132931,canonical330,chb01
time__mean__P7-T7,-0.09271895781880703,canonical330,chb01
time__std__P7-T7,1.1988922947595388,canonical330,chb01
time__rms__P7-T7,1.3575159677128665,canonical330,chb01
time__ptp__P7-T7,-0.10805163479573883,canonical330,chb01
time__line_length__P7-T7,-0.43834568576872246,canonical330,chb01
time__mean__P8-O2,-0.2868651484626737,canonical330,chb01
time__std__P8-O2,0.4766447923959875,canonical330,chb01
time__rms__P8-O2,0.41391936083378505,canonical330,chb01
time__ptp__P8-O2,-0.1328141495472014,canonical330,chb01
time__line_length__P8-O2,1.8032272195204768,canonical330,chb01
time__mean__T7-FT9,-0.19512205130105767,canonical330,chb01
time__std__T7-FT9,1.7241246374048158,canonical330,chb01
time__rms__T7-FT9,1.6690208634755948,canonical330,chb01
time__ptp__T7-FT9,-0.6882291894050464,canonical330,chb01
time__line_length__T7-FT9,-0.30348788904717766,canonical330,chb01
time__mean__T7-P7,0.09271895781881455,canonical330,chb01
time__std__T7-P7,1.198892294759529,canonical330,chb01
time__rms__T7-P7,1.35751596771282,canonical330,chb01
time__ptp__T7-P7,-0.1080516347955395,canonical330,chb01
time__line_length__T7-P7,-0.4383456857687228,canonical330,chb01
time__mean__T8-P8,-0.23615678697042922,canonical330,chb01
time__std__T8-P8,-0.15358886284801673,canonical330,chb01
time__rms__T8-P8,-0.2699454969091583,canonical330,chb01
time__ptp__T8-P8,-0.33479122729318134,canonical330,chb01
time__line_length__T8-P8,-0.08122560785330273,canonical330,chb01
freq__delta__C3-P3,0.7721586326406741,canonical330,chb01
freq__theta__C3-P3,0.736100863723913,canonical330,chb01
freq__alpha__C3-P3,-0.08434848670178736,canonical330,chb01
freq__beta__C3-P3,-0.37402542332902305,canonical330,chb01
freq__gamma__C3-P3,-0.7471687775994121,canonical330,chb01
