patient,file,start_sec,end_sec,label,condition,trial,channel_index,rmse_volts,normalized_rmse,correlation,noise_ratio,beta,method,factor,original_samples,retained_samples,sample_ratio,endpoint_policy,reduced_sample_rate,reduced_nyquist,clipped_fraction,substeps,noise_convention,initial_state,clip,target_frequency,mapping
chb08,chb08_21.edf,0.0,4.0,0,clean,0,0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,clean,0,1,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,clean,0,2,0.0,0.0,0.9999999999999999,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,clean,0,3,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,clean,0,4,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,clean,0,5,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,clean,0,6,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,clean,0,7,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,clean,0,8,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,clean,0,9,0.0,0.0,0.9999999999999998,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,clean,0,10,0.0,0.0,0.9999999999999999,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,clean,0,11,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,clean,0,12,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,clean,0,13,0.0,0.0,0.9999999999999999,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,clean,0,14,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,clean,0,15,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,clean,0,16,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,clean,0,17,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,clean,0,18,0.0,0.0,0.9999999999999998,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,clean,0,19,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,clean,0,20,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,clean,0,21,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,clean,0,0,0.0,0.0,0.9999999999999998,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,clean,0,1,0.0,0.0,0.9999999999999999,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,clean,0,2,0.0,0.0,0.9999999999999998,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,clean,0,3,0.0,0.0,0.9999999999999998,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,clean,0,4,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,clean,0,5,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,clean,0,6,0.0,0.0,0.9999999999999998,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,clean,0,7,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,clean,0,8,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,clean,0,9,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,clean,0,10,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,clean,0,11,0.0,0.0,0.9999999999999999,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,clean,0,12,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,clean,0,13,0.0,0.0,0.9999999999999998,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,clean,0,14,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,clean,0,15,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,clean,0,16,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,clean,0,17,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,clean,0,18,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,clean,0,19,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,clean,0,20,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,clean,0,21,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,0,0,2.7406448857559165e-05,0.3,0.9592063838500497,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,0,1,2.4947139864585595e-05,0.3,0.9578413873107008,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,0,2,2.481217732123979e-05,0.30000000000000004,0.957097675418053,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,0,3,2.2691680694723644e-05,0.3,0.9581130352526553,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,0,4,1.2999509375028672e-05,0.3,0.9570869456758181,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,0,5,3.8629182209673184e-05,0.3,0.9579606520803138,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,0,6,3.065096698658949e-05,0.3,0.9588637116364939,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,0,7,2.5341712850820327e-05,0.3,0.9575216061634975,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,0,8,2.157262566029877e-05,0.3,0.9584846876272539,0.3,0.0,,,,,,,,,,,,,,,
