patient,file,start_sec,end_sec,label,model,drive,noise_intensity,substeps,trials,valid_trials,invalid_trials,valid_fraction,coherence_median,coherence_sd,snr_mean,snr_valid_trials,snr_sd,events_mean,clipped_fraction_max
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,0.0,1,3,0,3,0.0,,,11.46455637153226,3,0.0,0.0,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,0.0,2,3,0,3,0.0,,,11.463562777230038,3,0.0,0.0,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,0.1,1,3,0,3,0.0,,,-7.667083410707696,3,6.920239511518163,0.0,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,0.1,2,3,0,3,0.0,,,-10.702761265471523,3,8.09383182341347,0.0,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,0.5,1,3,0,3,0.0,,,-10.162396949403837,3,4.943409399784154,0.6666666666666666,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,0.5,2,3,0,3,0.0,,,-14.334809852459756,3,14.46426027611695,0.6666666666666666,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,2.0,1,3,0,3,0.0,,,-8.63373653935108,3,3.818249128323431,2.6666666666666665,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,2.0,2,3,0,3,0.0,,,-11.44432567026404,3,8.713668213255026,2.0,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,0.0,1,3,0,3,0.0,,,,0,,0.0,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,0.0,2,3,0,3,0.0,,,,0,,0.0,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,0.1,1,3,0,3,0.0,,,-8.17274320549833,3,2.9756388726295464,0.0,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,0.1,2,3,0,3,0.0,,,-11.487241383295853,3,12.404094981897295,0.0,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,0.5,1,3,0,3,0.0,,,-10.30179097354222,3,3.218103434731388,0.6666666666666666,0.0
