feature,importance
time__rms__F3-C3,0.27665827
freq__theta__FT9-FT10,0.060296696
time__std__F3-C3,0.051826768
time__rms__C3-P3,0.03617454
freq__theta__F7-T7,0.035656404
freq__theta__F3-C3,0.028906647
time__rms__FZ-CZ,0.018443868
freq__theta__F8-T8,0.01838421
freq__delta__P7-O1,0.017344227
time__line_length__FT10-T8,0.016911348
time__std__C3-P3,0.015706321
time__std__FZ-CZ,0.009884941
freq__theta__P7-O1,0.009343619
hjorth__activity__FZ-CZ,0.009213022
time__rms__P3-O1,0.008860381
freq__theta__T8-P8,0.008737368
hjorth__mobility__CZ-PZ,0.00842453
freq__theta__P4-O2,0.008340049
time__line_length__FP1-F7,0.008067173
time__rms__P7-T7,0.00745422
time__rms__F7-T7,0.0066389157
time__std__P3-O1,0.006334406
time__std__FP1-F7,0.006064421
hjorth__activity__P7-O1,0.0059574456
time__rms__FP1-F7,0.005885563
time__line_length__T8-P8,0.0055670533
time__line_length__P8-O2,0.005465503
time__line_length__T7-FT9,0.0049696504
freq__gamma__T8-P8,0.00449184
freq__delta__FP1-F3,0.0044913236
freq__alpha__P7-O1,0.00430841
time__line_length__CZ-PZ,0.0042533
entropy__perm__T7-FT9,0.00405249
time__std__P7-O1,0.00399446
time__rms__P7-O1,0.0037882922
freq__alpha__P7-T7,0.0037257227
freq__theta__FP2-F8,0.0035779013
time__rms__CZ-PZ,0.0035520478
time__std__T7-P7,0.0035001168
entropy__perm__F7-T7,0.0034943386
freq__delta__P8-O2,0.0034938236
time__std__P7-T7,0.0034633833
freq__beta__F3-C3,0.0034610194
time__rms__C4-P4,0.0032404289
freq__theta__FT10-T8,0.003212267
freq__alpha__T7-P7,0.00320457
freq__delta__P7-T7,0.0031558184
freq__alpha__FT9-FT10,0.0028980863
freq__gamma__P3-O1,0.0028957354
hjorth__mobility__T8-P8,0.0028470417
time__ptp__FP1-F3,0.0028364118
hjorth__complexity__FT10-T8,0.0027902802
time__ptp__P7-T7,0.0027150386
freq__theta__CZ-PZ,0.0027144281
freq__beta__T8-P8,0.002692991
freq__theta__C3-P3,0.0026640305
freq__gamma__FP1-F3,0.0025523603
freq__gamma__FP2-F4,0.0025315403
hjorth__activity__FT9-FT10,0.0025314745
hjorth__mobility__FP1-F3,0.002512223
freq__theta__P8-O2,0.0023499362
freq__beta__T7-FT9,0.0023257146
freq__beta__FP2-F8,0.0022135135
freq__gamma__F8-T8,0.0021971986
time__std__P8-O2,0.0021526176
freq__gamma__P8-O2,0.0020848077
time__line_length__FT9-FT10,0.002055457
time__line_length__P7-T7,0.0020370234
hjorth__mobility__T7-FT9,0.002031973
freq__beta__FZ-CZ,0.0020317556
time__rms__FT9-FT10,0.0020302762
freq__theta__F4-C4,0.0019987908
time__std__FT9-FT10,0.0019699854
hjorth__activity__FP1-F7,0.0018729272
time__line_length__F7-T7,0.0018721181
time__mean__F4-C4,0.0018167318
time__line_length__FP2-F4,0.0018057086
time__line_length__FZ-CZ,0.0017987266
freq__beta__P7-T7,0.001760218
entropy__spectral__C3-P3,0.0016848271
freq__delta__FT9-FT10,0.0016824751
time__ptp__FT9-FT10,0.0016649944
entropy__perm__P4-O2,0.0016491009
freq__beta__P8-O2,0.0016345006
freq__delta__CZ-PZ,0.0016247705
time__std__FP1-F3,0.0015831789
freq__gamma__FT10-T8,0.0015752406
entropy__spectral__T8-P8,0.0015662124
time__line_length__C4-P4,0.0015418058
time__rms__FT10-T8,0.0015048857
hjorth__mobility__P7-O1,0.0015040858
time__ptp__F4-C4,0.0014837539
hjorth__complexity__F4-C4,0.0014767859
freq__beta__CZ-PZ,0.0014747777
freq__gamma__T7-FT9,0.0014663395
entropy__spectral__T7-FT9,0.0014493918
hjorth__mobility__P3-O1,0.0014215958
time__mean__C3-P3,0.0013855014
hjorth__complexity__FP1-F3,0.0013804138
hjorth__complexity__C3-P3,0.0013777525
freq__alpha__FT10-T8,0.001374701
time__std__FT10-T8,0.0013599389
freq__beta__C3-P3,0.0013589893
time__ptp__FZ-CZ,0.0013529935
freq__alpha__T7-FT9,0.0013419619
time__mean__F7-T7,0.0013401966
freq__delta__P4-O2,0.0013190472
entropy__perm__CZ-PZ,0.0013144579
hjorth__complexity__FT9-FT10,0.001304194
hjorth__mobility__F3-C3,0.0012810607
time__ptp__F3-C3,0.0012739348
freq__delta__F3-C3,0.0012731191
hjorth__complexity__P7-O1,0.001270504
entropy__perm__FP2-F8,0.001266202
time__line_length__F3-C3,0.0012609945
freq__theta__C4-P4,0.0012127823
entropy__spectral__P3-O1,0.0011643699
freq__theta__P3-O1,0.0011600448
hjorth__mobility__FT9-FT10,0.0011487883
freq__beta__FP2-F4,0.001123429
freq__beta__P7-O1,0.001123272
freq__gamma__FP2-F8,0.0011188537
hjorth__complexity__FZ-CZ,0.0011081273
entropy__perm__FZ-CZ,0.0011029755
