model,rank,feature
selected_supervised,1,time__rms__CZ-PZ
selected_supervised,2,time__std__CZ-PZ
selected_supervised,3,hjorth__activity__CZ-PZ
selected_supervised,4,freq__gamma__P7-O1
selected_supervised,5,freq__theta__FP2-F4
selected_supervised,6,freq__theta__FT9-FT10
selected_supervised,7,time__line_length__P8-O2
selected_supervised,8,freq__alpha__FT9-FT10
selected_supervised,9,freq__gamma__P8-O2
selected_supervised,10,hjorth__mobility__FT9-FT10
selected_supervised,11,time__line_length__P7-O1
selected_supervised,12,freq__theta__F8-T8
selected_supervised,13,hjorth__mobility__T7-FT9
selected_supervised,14,hjorth__activity__P4-O2
selected_supervised,15,hjorth__activity__FZ-CZ
selected_supervised,16,time__ptp__FP1-F7
selected_supervised,17,freq__gamma__FZ-CZ
selected_supervised,18,freq__delta__F8-T8
selected_supervised,19,freq__delta__T8-P8
selected_supervised,20,time__std__FP2-F4
selected_supervised,21,freq__delta__P4-O2
selected_supervised,22,freq__delta__CZ-PZ
selected_supervised,23,freq__delta__P7-T7
selected_supervised,24,hjorth__mobility__CZ-PZ
selected_supervised,25,entropy__spectral__F7-T7
selected_supervised,26,hjorth__complexity__C4-P4
selected_supervised,27,time__rms__FZ-CZ
selected_supervised,28,freq__beta__CZ-PZ
selected_supervised,29,freq__theta__F3-C3
selected_supervised,30,freq__delta__P8-O2
selected_supervised,31,time__mean__T7-P7
selected_supervised,32,freq__theta__FZ-CZ
selected_supervised,33,freq__theta__FT10-T8
selected_supervised,34,time__rms__P3-O1
selected_supervised,35,entropy__perm__F3-C3
selected_supervised,36,hjorth__mobility__F7-T7
selected_supervised,37,time__std__P3-O1
selected_supervised,38,hjorth__complexity__FT10-T8
selected_supervised,39,freq__theta__T8-P8
selected_supervised,40,time__ptp__FT10-T8
selected_supervised,41,time__std__FZ-CZ
selected_supervised,42,freq__gamma__FT9-FT10
selected_supervised,43,hjorth__mobility__F3-C3
selected_supervised,44,freq__theta__F7-T7
selected_supervised,45,freq__theta__F4-C4
selected_supervised,46,freq__theta__P4-O2
selected_supervised,47,freq__beta__FZ-CZ
selected_supervised,48,freq__gamma__F3-C3
selected_supervised,49,freq__gamma__T8-P8
selected_supervised,50,time__std__P4-O2
selected_kd,1,time__rms__CZ-PZ
selected_kd,2,time__std__CZ-PZ
selected_kd,3,hjorth__activity__CZ-PZ
selected_kd,4,freq__gamma__P7-O1
selected_kd,5,freq__theta__FP2-F4
selected_kd,6,freq__theta__FT9-FT10
selected_kd,7,time__line_length__P8-O2
selected_kd,8,freq__alpha__FT9-FT10
selected_kd,9,freq__gamma__P8-O2
selected_kd,10,hjorth__mobility__FT9-FT10
selected_kd,11,time__line_length__P7-O1
selected_kd,12,freq__theta__F8-T8
selected_kd,13,hjorth__mobility__T7-FT9
selected_kd,14,hjorth__activity__P4-O2
selected_kd,15,hjorth__activity__FZ-CZ
selected_kd,16,time__ptp__FP1-F7
selected_kd,17,freq__gamma__FZ-CZ
selected_kd,18,freq__delta__F8-T8
selected_kd,19,freq__delta__T8-P8
selected_kd,20,time__std__FP2-F4
selected_kd,21,freq__delta__P4-O2
selected_kd,22,freq__delta__CZ-PZ
selected_kd,23,freq__delta__P7-T7
selected_kd,24,hjorth__mobility__CZ-PZ
selected_kd,25,entropy__spectral__F7-T7
selected_kd,26,hjorth__complexity__C4-P4
selected_kd,27,time__rms__FZ-CZ
selected_kd,28,freq__beta__CZ-PZ
selected_kd,29,freq__theta__F3-C3
selected_kd,30,freq__delta__P8-O2
selected_kd,31,time__mean__T7-P7
selected_kd,32,freq__theta__FZ-CZ
selected_kd,33,freq__theta__FT10-T8
selected_kd,34,time__rms__P3-O1
selected_kd,35,entropy__perm__F3-C3
selected_kd,36,hjorth__mobility__F7-T7
selected_kd,37,time__std__P3-O1
selected_kd,38,hjorth__complexity__FT10-T8
selected_kd,39,freq__theta__T8-P8
selected_kd,40,time__ptp__FT10-T8
selected_kd,41,time__std__FZ-CZ
