feature,importance
time__rms__CZ-PZ,0.2334624
time__std__CZ-PZ,0.10406561
hjorth__activity__CZ-PZ,0.06443815
freq__gamma__P7-O1,0.029775945
freq__theta__FP2-F4,0.027727362
freq__theta__FT9-FT10,0.025111618
time__line_length__P8-O2,0.022018583
freq__alpha__FT9-FT10,0.017297337
freq__gamma__P8-O2,0.01506791
hjorth__mobility__FT9-FT10,0.014169958
time__line_length__P7-O1,0.014022564
freq__theta__F8-T8,0.011375936
hjorth__mobility__T7-FT9,0.008154195
hjorth__activity__P4-O2,0.008058439
hjorth__activity__FZ-CZ,0.007379141
time__ptp__FP1-F7,0.0071927826
freq__gamma__FZ-CZ,0.00573253
freq__delta__F8-T8,0.005672637
freq__delta__T8-P8,0.0055812853
time__std__FP2-F4,0.0055469205
freq__delta__P4-O2,0.0054256213
freq__delta__CZ-PZ,0.004945666
freq__delta__P7-T7,0.0048265406
hjorth__mobility__CZ-PZ,0.004810022
entropy__spectral__F7-T7,0.0045339554
hjorth__complexity__C4-P4,0.004446461
time__rms__FZ-CZ,0.0043914067
freq__beta__CZ-PZ,0.0043174718
freq__theta__F3-C3,0.0041441945
freq__delta__P8-O2,0.0041134646
time__mean__T7-P7,0.003964736
freq__theta__FZ-CZ,0.003908681
freq__theta__FT10-T8,0.0039015897
time__rms__P3-O1,0.0037870817
entropy__perm__F3-C3,0.003770492
hjorth__mobility__F7-T7,0.0037135158
time__std__P3-O1,0.0037031693
hjorth__complexity__FT10-T8,0.0034040266
freq__theta__T8-P8,0.0033849808
time__ptp__FT10-T8,0.00324741
time__std__FZ-CZ,0.0032179938
freq__gamma__FT9-FT10,0.003215363
hjorth__mobility__F3-C3,0.0031671948
freq__theta__F7-T7,0.0031422027
freq__theta__F4-C4,0.0030355705
freq__theta__P4-O2,0.002968919
freq__beta__FZ-CZ,0.0028924895
freq__gamma__F3-C3,0.00284944
freq__gamma__T8-P8,0.0028372773
time__std__P4-O2,0.002794589
time__mean__P4-O2,0.0027776067
time__rms__P4-O2,0.002773501
freq__alpha__P7-O1,0.0027612748
freq__delta__P3-O1,0.0027064472
time__ptp__FZ-CZ,0.0026537979
freq__gamma__F7-T7,0.0026187182
hjorth__complexity__F7-T7,0.002594062
freq__beta__F8-T8,0.0025490283
freq__beta__F3-C3,0.0024324127
time__mean__C4-P4,0.002399536
time__ptp__FP1-F3,0.0023716192
entropy__spectral__C4-P4,0.0023701766
freq__alpha__FP2-F8,0.0023519967
time__line_length__T7-FT9,0.002343401
hjorth__mobility__C3-P3,0.0022945772
time__mean__FP1-F3,0.0022677253
time__line_length__F4-C4,0.0022283094
time__rms__P8-O2,0.002200603
time__ptp__T8-P8,0.0021933403
freq__delta__P7-O1,0.00219075
hjorth__mobility__C4-P4,0.0021840709
freq__beta__FP1-F3,0.0021691131
entropy__perm__F7-T7,0.002138364
hjorth__complexity__FT9-FT10,0.002046709
entropy__spectral__F8-T8,0.0020236154
freq__delta__FT10-T8,0.0020016117
time__ptp__FP2-F4,0.001979324
time__line_length__FZ-CZ,0.0019451653
entropy__perm__T7-FT9,0.0018309228
time__line_length__FT9-FT10,0.0018121715
freq__alpha__T7-FT9,0.0017897101
time__mean__F4-C4,0.0017488307
time__mean__F8-T8,0.001747418
time__rms__P7-T7,0.0017430122
time__rms__F4-C4,0.0017348184
entropy__perm__P3-O1,0.001727905
freq__alpha__FP1-F7,0.0016951985
time__mean__C3-P3,0.0016838656
time__std__FT10-T8,0.0016636506
entropy__perm__P7-O1,0.0016407145
freq__gamma__T7-FT9,0.0016317442
freq__gamma__FP2-F4,0.0016291268
time__std__T7-FT9,0.001622592
freq__beta__FT9-FT10,0.0016090252
time__std__P7-T7,0.0016050283
time__ptp__F8-T8,0.0015970988
hjorth__activity__F3-C3,0.0015945282
freq__beta__T8-P8,0.0015776193
time__rms__T7-FT9,0.0015774051
freq__alpha__P8-O2,0.0015740341
freq__beta__F4-C4,0.001538764
freq__alpha__CZ-PZ,0.0015347659
freq__alpha__F7-T7,0.0015335582
time__ptp__T7-FT9,0.0015259894
entropy__perm__FZ-CZ,0.001510915
entropy__spectral__P3-O1,0.0015032511
entropy__perm__FP2-F8,0.0014975786
hjorth__complexity__CZ-PZ,0.0014940446
time__line_length__FP2-F8,0.0014742076
time__rms__FT9-FT10,0.0014707525
time__std__FT9-FT10,0.0014580542
freq__theta__C4-P4,0.0014399841
hjorth__mobility__P3-O1,0.0014371932
time__line_length__C3-P3,0.0014326003
hjorth__mobility__F8-T8,0.0014268222
time__rms__T7-P7,0.0014197441
time__ptp__F4-C4,0.0013901084
