model,seed,f1_mean,f1_std,precision,recall,f1,average_precision,roc_auc
random_supervised,42,0.35195496142586585,0.260651599155515,0.20044296788482835,0.5746031746031746,0.29720853858784896,0.35875328533719575,0.8735178124525548
selected_kd,42,0.42935956478753584,0.28927495998709485,0.22573099415204678,0.6126984126984127,0.3299145299145299,0.4112306065107382,0.9274784955979031
selected_supervised,42,0.3780811670810147,0.25735287489698105,0.1651685393258427,0.7,0.2672727272727273,0.4314367297913808,0.8994575535997935
teacher,42,0.38661036491346185,0.2710081809956501,0.20836236933797908,0.4746031746031746,0.28958837772397095,0.32865100761813887,0.9344101043345103
random_supervised,43,0.373933407674672,0.21555410971312663,0.19232661091982292,0.6206349206349207,0.29365377393916636,0.29631917162621707,0.9187137477981353
random_supervised,44,0.3715381732923178,0.21727199611626954,0.1935967983991996,0.6142857142857143,0.29440852034994297,0.4077168018039154,0.8943027823080275
selected_kd,43,0.43691134574373064,0.26229753090211366,0.22603550295857988,0.6063492063492063,0.3293103448275862,0.34667776890417773,0.9023784627842018
selected_kd,44,0.37935629243373625,0.2382535994649655,0.21634877384196186,0.6301587301587301,0.32210953346855986,0.426072094151084,0.9254215172990243
selected_supervised,43,0.3900096806383694,0.2032841826405793,0.1548872180451128,0.653968253968254,0.25045592705167175,0.3784914452720378,0.8890524676393237
selected_supervised,44,0.4239267800069163,0.27024915549337125,0.16784673052894628,0.6396825396825396,0.2659188386671066,0.42107601973226855,0.8944364450843931
teacher,43,0.38661036491346185,0.2710081809956501,0.20836236933797908,0.4746031746031746,0.28958837772397095,0.32865100761813887,0.9344101043345103
teacher,44,0.38661036491346185,0.2710081809956501,0.20836236933797908,0.4746031746031746,0.28958837772397095,0.32865100761813887,0.9344101043345103
