test_patient,model,mean,std
chb01,random_supervised,0.7017649212244438,0.02851237785850094
chb01,selected_kd,0.7883939997910586,0.06103592613478164
chb01,selected_supervised,0.7361302167057563,0.06530560342886764
chb01,teacher,0.5098039215686274,0.0
chb02,random_supervised,0.39596378816562305,0.06551607698853788
chb02,selected_kd,0.47156525066972826,0.07988531080776883
chb02,selected_supervised,0.4465543654532751,0.15334784203597013
chb02,teacher,0.616822429906542,0.0
chb03,random_supervised,0.13202889747119262,0.07295082759298857
chb03,selected_kd,0.13847011311514354,0.044583411901092905
chb03,selected_supervised,0.2166079577780199,0.051284873883663706
chb03,teacher,0.0380952380952381,0.0
chb05,random_supervised,0.1794511212175427,0.001808380743166816
chb05,selected_kd,0.19143413484373997,0.00722756295846312
chb05,selected_supervised,0.13467196830548006,0.0057142221886594576
chb05,teacher,0.155984555984556,0.0
chb08,random_supervised,0.41983550924262386,0.06633987031899255
chb08,selected_kd,0.48618183985533414,0.004947355276351106
chb08,selected_supervised,0.4527315379679691,0.02594637282783396
chb08,teacher,0.6123456790123457,0.0
