patient,file,start_sec,end_sec,label,model,drive,noise_intensity,substeps,trials,valid_trials,invalid_trials,valid_fraction,coherence_median,coherence_sd,snr_mean,snr_valid_trials,snr_sd,events_mean,clipped_fraction_max
chb01,chb01_03.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,0.0,1,3,0,3,0.0,,,9.987829738241324,3,0.0,0.0,0.0
chb01,chb01_03.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,0.0,2,3,0,3,0.0,,,9.98783066670718,3,0.0,0.0,0.0
chb01,chb01_03.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,0.1,1,3,0,3,0.0,,,4.249038429955845,3,2.606968630423505,0.0,0.0
chb01,chb01_03.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,0.1,2,3,0,3,0.0,,,-1.9498386903888687,3,4.671058273649843,0.0,0.0
chb01,chb01_03.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,0.5,1,3,0,3,0.0,,,3.6159819336704224,3,3.9981841868860535,1.6666666666666667,0.0
chb01,chb01_03.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,0.5,2,3,0,3,0.0,,,-1.700241261462313,3,3.4144530684918255,1.0,0.0
chb01,chb01_03.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,2.0,1,3,3,0,1.0,1.2833537733581977,0.42148527140841396,3.04326903130691,3,5.039291292974818,7.333333333333333,0.0
chb01,chb01_03.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,2.0,2,3,2,1,0.6666666666666666,1.0420355160784358,0.20132406907829062,-1.7468589035077589,3,3.487809670547177,4.666666666666667,0.0
chb01,chb01_03.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,0.0,1,3,0,3,0.0,,,,0,,0.0,0.0
chb01,chb01_03.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,0.0,2,3,0,3,0.0,,,,0,,0.0,0.0
chb01,chb01_03.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,0.1,1,3,0,3,0.0,,,2.7740825444400024,3,5.669157631362177,0.0,0.0
chb01,chb01_03.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,0.1,2,3,0,3,0.0,,,-1.657624273818322,3,3.969285595374137,0.0,0.0
chb01,chb01_03.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,0.5,1,3,0,3,0.0,,,2.768430438680655,3,5.789605212935625,1.6666666666666667,0.0
chb01,chb01_03.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,0.5,2,3,0,3,0.0,,,-1.6345796160183739,3,3.9398814132276274,1.0,0.0
chb01,chb01_03.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,2.0,1,3,3,0,1.0,1.2833537733581977,0.42148527140841396,2.539997089787699,3,6.080614242544013,7.333333333333333,0.0
chb01,chb01_03.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,2.0,2,3,2,1,0.6666666666666666,1.0420355160784358,0.20132406907829062,-1.746335741034245,3,4.033371488666196,4.666666666666667,0.0
chb01,chb01_03.edf,0.0,4.0,0,fhn_sde,eeg_component,0.0,1,3,0,3,0.0,,,9.9956607259383,3,0.0,0.0,0.0
chb01,chb01_03.edf,0.0,4.0,0,fhn_sde,eeg_component,0.0,2,3,0,3,0.0,,,9.99563450553232,3,0.0,0.0,0.0
chb01,chb01_03.edf,0.0,4.0,0,fhn_sde,eeg_component,0.1,1,3,1,2,0.3333333333333333,4.751757631882539,,6.279923432086214,3,1.3309794065789744,3.3333333333333335,0.0
chb01,chb01_03.edf,0.0,4.0,0,fhn_sde,eeg_component,0.1,2,3,3,0,1.0,1.5038912781605078,0.23096745393782458,-0.32617753578830766,3,2.1975272140310413,6.333333333333333,0.0
chb01,chb01_03.edf,0.0,4.0,0,fhn_sde,eeg_component,0.5,1,3,2,1,0.6666666666666666,2.001189492899202,1.5223002876113052,5.103542167188983,3,1.36393550165956,4.666666666666667,0.0
chb01,chb01_03.edf,0.0,4.0,0,fhn_sde,eeg_component,0.5,2,3,3,0,1.0,1.7690846551894726,1.5487963220040062,-1.5819598287382401,3,1.4080284183834622,5.0,0.0
chb01,chb01_03.edf,0.0,4.0,0,fhn_sde,eeg_component,2.0,1,3,3,0,1.0,3.0776183492713876,1.5098541731908657,4.591046180374045,3,1.3389461591746372,6.0,0.0
chb01,chb01_03.edf,0.0,4.0,0,fhn_sde,eeg_component,2.0,2,3,2,1,0.6666666666666666,2.8341444614209026,2.409855268471042,-2.159948590986954,3,2.407545909325133,4.666666666666667,0.0
chb01,chb01_03.edf,0.0,4.0,0,fhn_sde,no_external_drive,0.0,1,3,0,3,0.0,,,-1.0966149847321742,3,0.0,0.0,0.0
chb01,chb01_03.edf,0.0,4.0,0,fhn_sde,no_external_drive,0.0,2,3,0,3,0.0,,,-1.0966146032436788,3,0.0,0.0,0.0
chb01,chb01_03.edf,0.0,4.0,0,fhn_sde,no_external_drive,0.1,1,3,1,2,0.3333333333333333,4.751757631882539,,4.127403770142437,3,1.2537261431630902,3.3333333333333335,0.0
chb01,chb01_03.edf,0.0,4.0,0,fhn_sde,no_external_drive,0.1,2,3,3,0,1.0,1.512026306337941,0.23060262243403165,-2.838817247473507,3,3.4776375250614078,6.333333333333333,0.0
chb01,chb01_03.edf,0.0,4.0,0,fhn_sde,no_external_drive,0.5,1,3,2,1,0.6666666666666666,2.001189492899202,1.5223002876113052,4.1245567310078215,3,1.2497061133118685,4.666666666666667,0.0
chb01,chb01_03.edf,0.0,4.0,0,fhn_sde,no_external_drive,0.5,2,3,3,0,1.0,1.7690846551894726,1.4090594429718133,-2.794175063588464,3,3.517660636228249,5.333333333333333,0.0
chb01,chb01_03.edf,0.0,4.0,0,fhn_sde,no_external_drive,2.0,1,3,3,0,1.0,3.0776183492713876,1.5098541731908657,4.094879199031607,3,1.2669563995579447,6.0,0.0
chb01,chb01_03.edf,0.0,4.0,0,fhn_sde,no_external_drive,2.0,2,3,3,0,1.0,4.538169463434905,2.711061839807043,-2.7291673081365246,3,3.5624118053549934,5.0,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,bistable_driven_regularity,eeg_component,0.0,1,3,0,3,0.0,,,12.591317526953837,3,0.0,0.0,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,bistable_driven_regularity,eeg_component,0.0,2,3,0,3,0.0,,,12.59120979559282,3,0.0,0.0,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,bistable_driven_regularity,eeg_component,0.1,1,3,0,3,0.0,,,-0.12441073667124962,3,4.392627790781893,0.0,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,bistable_driven_regularity,eeg_component,0.1,2,3,0,3,0.0,,,-4.744744962209005,3,5.116821012055842,0.0,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,bistable_driven_regularity,eeg_component,0.5,1,3,0,3,0.0,,,-1.938804074909824,3,5.353860923992669,0.0,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,bistable_driven_regularity,eeg_component,0.5,2,3,0,3,0.0,,,-5.567375944086083,3,5.133305919144533,1.3333333333333333,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,bistable_driven_regularity,eeg_component,2.0,1,3,0,3,0.0,,,-3.145389873109503,3,5.896816453122293,3.3333333333333335,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,bistable_driven_regularity,eeg_component,2.0,2,3,1,2,0.3333333333333333,2.6364947765949567,,-6.152785305379453,3,5.749107759698337,4.0,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,bistable_driven_regularity,no_external_drive,0.0,1,3,0,3,0.0,,,,0,,0.0,0.0
