patient,file,start_sec,end_sec,label,channel,model,drive,noise_intensity,substeps,trial,seed,detector,target_frequency,snr_db,input_snr_db,snr_interpretation,clipped_fraction,noise_convention,initial_state,clip,events,intervals,discarded_intervals,ddof,cv,coherence,valid,reason,zero_noise_snr_db,snr_change_vs_zero_noise_db,snr_change_vs_input_db,duration_sec,sr_numerically_valid
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.0,1,0,11304019352729495866,bistable hysteresis; CV sample SD; five intervals,11.5,9.987829738241324,10.03714597144646,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,0,0,0,1,,,False,insufficient_intervals,9.987829738241324,0.0,-0.0493162332051362,4,True
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.0,1,1,12186661973940802804,bistable hysteresis; CV sample SD; five intervals,11.5,9.987829738241324,10.03714597144646,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,0,0,0,1,,,False,insufficient_intervals,9.987829738241324,0.0,-0.0493162332051362,4,True
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.0,1,2,6258755330517710887,bistable hysteresis; CV sample SD; five intervals,11.5,9.987829738241324,10.03714597144646,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,0,0,0,1,,,False,insufficient_intervals,9.987829738241324,0.0,-0.0493162332051362,4,True
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.1,1,0,11304019352729495866,bistable hysteresis; CV sample SD; five intervals,11.5,1.7442187940813605,10.03714597144646,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,0,0,0,1,,,False,insufficient_intervals,9.987829738241324,-8.243610944159963,-8.2929271773651,4,True
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.1,1,1,12186661973940802804,bistable hysteresis; CV sample SD; five intervals,11.5,4.0555248806929365,10.03714597144646,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,0,0,0,1,,,False,insufficient_intervals,9.987829738241324,-5.932304857548387,-5.981621090753523,4,True
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.1,1,2,6258755330517710887,bistable hysteresis; CV sample SD; five intervals,11.5,6.947371615093236,10.03714597144646,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,0,0,0,1,,,False,insufficient_intervals,9.987829738241324,-3.0404581231480874,-3.089774356353224,4,True
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.5,1,0,11304019352729495866,bistable hysteresis; CV sample SD; five intervals,11.5,-0.9377172052613586,10.03714597144646,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,4,3,0,1,,,False,insufficient_intervals,9.987829738241324,-10.925546943502685,-10.97486317670782,4,True
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.5,1,1,12186661973940802804,bistable hysteresis; CV sample SD; five intervals,11.5,5.234542124265089,10.03714597144646,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,0,0,0,1,,,False,insufficient_intervals,9.987829738241324,-4.753287613976235,-4.802603847181371,4,True
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.5,1,2,6258755330517710887,bistable hysteresis; CV sample SD; five intervals,11.5,6.551120882007537,10.03714597144646,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,1,0,0,1,,,False,insufficient_intervals,9.987829738241324,-3.4367088562337864,-3.486025089438922,4,True
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,2.0,1,0,11304019352729495866,bistable hysteresis; CV sample SD; five intervals,11.5,-2.7709413144432373,10.03714597144646,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,7,6,0,1,0.6305796308309956,1.5858425345616889,True,ok,9.987829738241324,-12.758771052684562,-12.808087285889698,4,True
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,2.0,1,1,12186661973940802804,bistable hysteresis; CV sample SD; five intervals,11.5,5.748693077199856,10.03714597144646,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,9,8,0,1,1.3276963842500211,0.7531842459335101,True,ok,9.987829738241324,-4.239136661041468,-4.288452894246604,4,True
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,2.0,1,2,6258755330517710887,bistable hysteresis; CV sample SD; five intervals,11.5,6.152055331164112,10.03714597144646,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,6,5,0,1,0.7792083685414851,1.2833537733581977,True,ok,9.987829738241324,-3.835774407077212,-3.885090640282348,4,True
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.0,2,0,9422344356864014506,bistable hysteresis; CV sample SD; five intervals,11.5,9.98783066670718,10.03714597144646,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,0,0,0,1,,,False,insufficient_intervals,9.98783066670718,0.0,-0.0493153047392791,4,True
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.0,2,1,15318821279060036402,bistable hysteresis; CV sample SD; five intervals,11.5,9.98783066670718,10.03714597144646,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,0,0,0,1,,,False,insufficient_intervals,9.98783066670718,0.0,-0.0493153047392791,4,True
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.0,2,2,1745580357121653389,bistable hysteresis; CV sample SD; five intervals,11.5,9.98783066670718,10.03714597144646,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,0,0,0,1,,,False,insufficient_intervals,9.98783066670718,0.0,-0.0493153047392791,4,True
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.1,2,0,9422344356864014506,bistable hysteresis; CV sample SD; five intervals,11.5,0.6993891305766993,10.03714597144646,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,0,0,0,1,,,False,insufficient_intervals,9.98783066670718,-9.28844153613048,-9.33775684086976,4,True
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.1,2,1,15318821279060036402,bistable hysteresis; CV sample SD; five intervals,11.5,-7.343233666534829,10.03714597144646,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,0,0,0,1,,,False,insufficient_intervals,9.98783066670718,-17.33106433324201,-17.38037963798129,4,True
