duration_sec,patient,model,drive,trials,valid_cr,insufficient,events,intervals,min_events,max_events,sr_numerically_valid,max_clipped_fraction
4,chb01,bistable_driven_regularity,eeg_component,48,6,42,70,51,0,9,48,0.0
4,chb01,bistable_driven_regularity,no_external_drive,48,6,42,72,53,0,9,0,0.0
4,chb01,fhn_sde,eeg_component,48,28,20,187,136,0,8,48,0.0
4,chb01,fhn_sde,no_external_drive,48,29,19,178,131,0,8,48,0.0
4,chb02,bistable_driven_regularity,eeg_component,48,1,47,41,23,0,7,48,0.0
4,chb02,bistable_driven_regularity,no_external_drive,48,1,47,41,23,0,7,0,0.0
4,chb02,fhn_sde,eeg_component,48,39,9,221,167,2,7,48,0.0
4,chb02,fhn_sde,no_external_drive,48,32,16,187,146,0,8,48,0.0
4,chb08,bistable_driven_regularity,eeg_component,48,1,47,43,25,0,7,48,0.0
4,chb08,bistable_driven_regularity,no_external_drive,48,0,48,39,21,0,5,0,0.0
4,chb08,fhn_sde,eeg_component,48,31,17,205,152,1,8,48,0.0
4,chb08,fhn_sde,no_external_drive,48,33,15,201,157,0,9,48,0.0
10,chb01,bistable_driven_regularity,eeg_component,48,13,35,161,138,0,13,48,0.0
10,chb01,bistable_driven_regularity,no_external_drive,48,13,35,161,138,0,14,0,0.0
10,chb01,fhn_sde,eeg_component,48,36,12,429,353,2,17,48,0.0
10,chb01,fhn_sde,no_external_drive,48,36,12,399,337,0,16,48,0.0
10,chb02,bistable_driven_regularity,eeg_component,48,9,39,121,96,0,12,48,0.0
10,chb02,bistable_driven_regularity,no_external_drive,48,9,39,122,98,0,12,0,0.0
10,chb02,fhn_sde,eeg_component,48,42,6,448,377,2,14,48,0.0
10,chb02,fhn_sde,no_external_drive,48,36,12,401,342,0,15,48,0.0
10,chb08,bistable_driven_regularity,eeg_component,48,8,40,118,96,0,14,48,0.0
10,chb08,bistable_driven_regularity,no_external_drive,48,7,41,114,92,0,14,0,0.0
10,chb08,fhn_sde,eeg_component,48,36,12,390,327,2,17,48,0.0
10,chb08,fhn_sde,no_external_drive,48,35,13,362,311,0,16,48,0.0
