patient,file,start_sec,end_sec,0,1,2,3
chb01,chb01_01.edf,904.0,908.0,-17.213593752589567,-17.372588972426794,-18.7021396561091,-16.81761802927081
chb01,chb01_01.edf,2700.0,2704.0,-15.156285605016729,-16.1518619578753,-17.20290837395005,-15.009380668483953
chb01,chb01_02.edf,904.0,908.0,-16.081461523914612,-16.066157392159347,-17.44257092469011,-15.62239414862928
chb01,chb01_02.edf,2700.0,2704.0,-9.852479250763588,-11.106503370352826,-12.09922365487913,-9.729369403073585
chb01,chb01_03.edf,904.0,908.0,-16.76603754928614,-15.733967174985349,-17.656653072377907,-16.175108341914367
chb01,chb01_03.edf,2700.0,2704.0,-15.205976964947535,-15.004177843260859,-16.481883166311707,-14.712133025778025
chb01,chb01_04.edf,904.0,908.0,-22.262043037002023,-23.00641116049608,-23.219390586199115,-21.57336632435894
chb01,chb01_04.edf,2700.0,2704.0,-12.146978639584644,-14.556792175343645,-15.343457077361071,-10.798547293481867
chb01,chb01_05.edf,904.0,908.0,-15.901970232363396,-14.895059273286122,-16.580824594721587,-14.301854771105425
chb01,chb01_05.edf,2700.0,2704.0,-15.716693203213362,-13.838693786576414,-15.275889994600726,-16.919159136667098
chb01,chb01_10.edf,904.0,908.0,-12.595167136909732,-14.650687061447252,-16.93283383914639,-11.364495832246668
chb01,chb01_10.edf,2700.0,2704.0,-23.969228152668755,-24.338415481529786,-25.683202814787315,-22.937197879505653
chb01,chb01_15.edf,904.0,908.0,-18.555789147489786,-17.92992634586669,-19.413194508431097,-17.012898038405147
chb01,chb01_15.edf,2700.0,2704.0,-12.627825294188936,-12.548048579795429,-12.823991398104122,-13.151630076246983
chb01,chb01_16.edf,904.0,908.0,-16.026972746328152,-17.63372308360912,-18.629296359113148,-18.038986790380157
chb01,chb01_16.edf,2700.0,2704.0,-19.656829154186106,-21.79324295412113,-22.68344804807354,-18.68174856609037
chb01,chb01_18.edf,904.0,908.0,-15.047769438139511,-15.552848738421563,-16.68713533481677,-16.324871434519956
chb01,chb01_18.edf,2700.0,2704.0,-19.545374046981554,-19.618729597350924,-20.95382611461626,-17.719508289511047
chb01,chb01_21.edf,904.0,908.0,-18.640201361930348,-17.155348361328972,-18.194788334010262,-18.00304625956413
chb01,chb01_21.edf,2700.0,2704.0,-13.959662951306862,-14.947266783232607,-15.43695913372182,-13.42082686012463
chb01,chb01_26.edf,584.0,588.0,-10.85289895208142,-11.94759551917562,-12.66059713033402,-10.372499907370834
chb01,chb01_26.edf,1744.0,1748.0,-19.119777568509694,-18.888160524774396,-20.348747429180282,-17.459025520331895
chb02,chb02_01.edf,904.0,908.0,-19.742834663240043,-19.631685877298708,-20.80082991842713,-18.378957287387465
chb02,chb02_01.edf,2700.0,2704.0,-17.17414596530014,-16.260762678847346,-15.613430156894111,-18.39633287583339
chb02,chb02_02.edf,904.0,908.0,-16.75476794367005,-16.9641127548335,-17.885624490401444,-15.275339268851486
chb02,chb02_02.edf,2700.0,2704.0,-20.5495692758818,-19.676688918348518,-20.611927239218534,-18.950845911057165
chb02,chb02_05.edf,904.0,908.0,-22.140057811514488,-20.146874152275462,-22.04352820819612,-19.403377194605987
chb02,chb02_05.edf,2700.0,2704.0,-17.81490865113374,-17.004608331132168,-18.309728142612762,-16.104982574780706
chb02,chb02_10.edf,904.0,908.0,-16.302667381985774,-16.990174987189512,-16.60408169727286,-17.43809624850264
chb02,chb02_10.edf,2700.0,2704.0,-19.173531619030662,-18.281451981679254,-19.399230497629805,-17.92521923371708
chb02,chb02_16+.edf,904.0,908.0,-22.14025574404878,-22.274076057826676,-21.630786793584463,-21.480407416618924
chb02,chb02_16+.edf,2700.0,2704.0,-14.718646432786958,-14.34340518064335,-15.52457606680222,-13.527613329596601
chb02,chb02_16.edf,244.0,248.0,-14.79237062305179,-15.491167018853378,-15.909933997975731,-14.183776116693043
chb02,chb02_16.edf,716.0,720.0,-17.77126807243325,-18.7654578614588,-19.24646650565844,-17.22781521710281
chb02,chb02_19.edf,904.0,908.0,-17.105207168919016,-18.241656469065067,-18.690319438268084,-17.363087449361718
chb02,chb02_19.edf,2700.0,2704.0,-15.84069679551292,-14.567501542822992,-15.571172238327609,-15.544541168406564
chb03,chb03_01.edf,904.0,908.0,-5.247673164635562,-7.463880176299945,-8.964259338868633,-3.673844466604767
chb03,chb03_01.edf,2700.0,2704.0,-15.769876382898735,-17.300553175439948,-18.006730440383574,-17.627064389604623
chb03,chb03_02.edf,904.0,908.0,-20.235428527252193,-19.403304923614165,-20.60528672074406,-18.465362495725692
chb03,chb03_02.edf,2700.0,2704.0,-16.850398960199662,-17.18233165391738,-17.443964953744988,-15.843783640074733
chb03,chb03_03.edf,904.0,908.0,-17.212140132678506,-16.52312103887083,-17.791639038558227,-15.629354755879286
chb03,chb03_03.edf,2700.0,2704.0,-15.838053734078557,-15.664252463052781,-18.110872434574176,-14.554301899080434
chb03,chb03_04.edf,904.0,908.0,-20.99212424124858,-21.37701379944302,-22.483020017661353,-20.58416944909832
chb03,chb03_04.edf,2700.0,2704.0,-14.616506562205482,-15.837042323120642,-16.137889676771373,-14.182456457536862
chb03,chb03_05.edf,904.0,908.0,-14.932972287958558,-14.571790437000104,-15.828085459606138,-13.376487693959387
chb03,chb03_05.edf,2700.0,2704.0,-15.212272266638234,-17.229746757999294,-18.413568739107948,-13.252680259685889
chb03,chb03_06.edf,904.0,908.0,-15.412264039185652,-15.303008825960328,-16.278788572793825,-13.779506907581279
chb03,chb03_06.edf,2700.0,2704.0,-14.825234033066877,-15.759285075788304,-16.986813616895287,-14.343418233009107
chb03,chb03_07.edf,904.0,908.0,-14.683062841159707,-14.958217081420907,-15.716728730229182,-13.863724133917163
chb03,chb03_07.edf,2700.0,2704.0,-16.926118934253036,-17.45311237978102,-18.269339766602194,-15.958128367553774
