patient,file,start_sec,mode,seed,sr_value,cr_value,sr_reason,cr_reason,frequency,max_clipped_fraction,bistable_valid,bistable_reason,bistable_events,bistable_intervals,bistable_cv,fhn_events,fhn_intervals,fhn_valid
chb01,chb01_01.edf,4.0,centered,42,-9.651857851472503,0.983905512019438,ok,ok,1.6,0.0,False,insufficient_intervals,0,0,,15,12,True
chb01,chb01_01.edf,4.0,centered,43,-15.013473948930109,0.7816642741518455,ok,ok,1.6,0.0,False,insufficient_intervals,0,0,,14,12,True
chb01,chb01_01.edf,4.0,centered,44,-16.15329563023825,0.5817771800451791,ok,ok,1.6,0.0,True,ok,6,5,0.7563250410841427,11,10,True
chb01,chb01_01.edf,1800.0,centered,42,-13.794577492185855,0.9394745874762352,ok,ok,1.6,0.0,False,insufficient_intervals,0,0,,13,11,True
chb01,chb01_01.edf,1800.0,centered,43,-17.002418119347823,0.8190856436926941,ok,ok,1.6,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_01.edf,1800.0,centered,44,-19.879837345220224,0.5817771800451791,ok,ok,1.6,0.0,True,ok,6,5,0.757975985267183,11,10,True
chb01,chb01_01.edf,3592.0,centered,42,-18.405618142487448,0.8846135701161248,ok,ok,2.2,0.0,False,insufficient_intervals,0,0,,12,10,True
chb01,chb01_01.edf,3592.0,centered,43,-18.95618640042052,0.8210858044271492,ok,ok,2.2,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_01.edf,3592.0,centered,44,-22.60063009798251,0.5738531861237478,ok,ok,2.2,0.0,True,ok,6,5,0.7608158014525248,11,9,True
chb01,chb01_01.edf,8.0,trailing,42,-8.647950158350756,0.9671271878788834,ok,ok,1.6,0.0,False,insufficient_intervals,0,0,,14,12,True
chb01,chb01_01.edf,8.0,trailing,43,-15.28818927693019,0.7927189995908239,ok,ok,1.6,0.0,False,insufficient_intervals,0,0,,14,12,True
chb01,chb01_01.edf,8.0,trailing,44,-16.5827316985442,0.23071188120571898,ok,ok,1.6,0.0,True,ok,6,5,0.7343222010897716,10,9,True
chb01,chb01_01.edf,1804.0,trailing,42,-12.095469397908111,1.0036339976325919,ok,ok,1.4000000000000001,0.0,False,insufficient_intervals,0,0,,13,11,True
chb01,chb01_01.edf,1804.0,trailing,43,-18.78417667438286,0.7927189995908239,ok,ok,1.4000000000000001,0.0,False,insufficient_intervals,0,0,,14,12,True
chb01,chb01_01.edf,1804.0,trailing,44,-18.282684616055022,0.5234424491170963,ok,ok,1.4000000000000001,0.0,True,ok,6,5,0.7559392424501804,10,8,True
chb01,chb01_01.edf,3596.0,trailing,42,-18.988502266955308,0.9394745874762352,ok,ok,2.2,0.0,False,insufficient_intervals,0,0,,13,11,True
chb01,chb01_01.edf,3596.0,trailing,43,-19.62970930158425,0.792341414140958,ok,ok,2.2,0.0,False,insufficient_intervals,0,0,,13,12,True
chb01,chb01_01.edf,3596.0,trailing,44,-22.424459604490387,0.5738531861237478,ok,ok,2.2,0.0,True,ok,6,5,0.755827867973932,11,9,True
chb01,chb01_02.edf,4.0,centered,42,-17.33473229560165,0.9438969256405406,ok,ok,1.7000000000000002,0.0,False,insufficient_intervals,0,0,,14,11,True
chb01,chb01_02.edf,4.0,centered,43,-19.981107603886905,0.7557926957263537,ok,ok,1.7000000000000002,0.0,False,insufficient_intervals,0,0,,14,11,True
chb01,chb01_02.edf,4.0,centered,44,-22.556657758376424,0.590073286167904,ok,ok,1.7000000000000002,0.0,True,ok,6,5,0.7566157887477064,11,10,True
chb01,chb01_02.edf,1800.0,centered,42,-11.591285689106407,0.9345659351916152,ok,ok,1.2000000000000002,0.0,False,insufficient_intervals,0,0,,13,11,True
chb01,chb01_02.edf,1800.0,centered,43,-10.69755926422618,0.86179588090368,ok,ok,1.2000000000000002,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_02.edf,1800.0,centered,44,-13.52514924063324,0.5848473317658375,ok,ok,1.2000000000000002,0.0,True,ok,6,5,0.7765294277343716,11,10,True
chb01,chb01_02.edf,3592.0,centered,42,-8.462727368076525,0.7827518847813133,ok,ok,1.3,0.0,False,insufficient_intervals,0,0,,11,9,True
chb01,chb01_02.edf,3592.0,centered,43,-10.416133583997247,0.862175938895508,ok,ok,1.3,0.0,False,insufficient_intervals,0,0,,14,13,True
chb01,chb01_02.edf,3592.0,centered,44,-13.710788596701986,0.5817771800451791,ok,ok,1.3,0.0,True,ok,6,5,0.7572960273799565,11,10,True
chb01,chb01_02.edf,8.0,trailing,42,-16.347523073073692,0.983905512019438,ok,ok,2.5,0.0,False,insufficient_intervals,0,0,,15,12,True
chb01,chb01_02.edf,8.0,trailing,43,-12.898211180796903,0.7927189995908239,ok,ok,2.5,0.0,False,insufficient_intervals,0,0,,14,12,True
chb01,chb01_02.edf,8.0,trailing,44,-18.323775018830474,0.5697623334788614,ok,ok,2.5,0.0,True,ok,6,5,0.755827867973932,11,9,True
chb01,chb01_02.edf,1804.0,trailing,42,-9.264780519783557,0.8568946371721161,ok,ok,1.2000000000000002,0.0,False,insufficient_intervals,0,0,,12,10,True
chb01,chb01_02.edf,1804.0,trailing,43,-11.418835708863703,0.862175938895508,ok,ok,1.2000000000000002,0.0,False,insufficient_intervals,0,0,,14,13,True
chb01,chb01_02.edf,1804.0,trailing,44,-14.770420122654576,0.23071188120571898,ok,ok,1.2000000000000002,0.0,True,ok,6,5,0.7338476679644262,10,9,True
chb01,chb01_02.edf,3596.0,trailing,42,-13.981518412268148,0.8267878233312719,ok,ok,1.4000000000000001,0.0,False,insufficient_intervals,0,0,,11,8,True
chb01,chb01_02.edf,3596.0,trailing,43,-18.549950464839334,0.8955824739288749,ok,ok,1.4000000000000001,0.0,False,insufficient_intervals,0,0,,15,14,True
chb01,chb01_02.edf,3596.0,trailing,44,-19.44572385479362,0.6057892450500277,ok,ok,1.4000000000000001,0.0,True,ok,6,5,0.7606928651382987,11,9,True
chb01,chb01_03.edf,4.0,centered,42,-10.802643788812011,0.8867435039767271,ok,ok,1.0,0.0,False,insufficient_intervals,0,0,,13,10,True
