patient,file,start_sec,mode,seed,condition,sr_value,cr_value,sr_reason,cr_reason,frequency,max_clipped_fraction,bistable_valid,bistable_reason,bistable_events,bistable_intervals,bistable_cv,fhn_events,fhn_intervals,fhn_valid,sr_missing,cr_missing
chb01,chb01_01.edf,4.0,centered,42,driven,-9.651857851472503,0.983905512019438,ok,ok,1.6,0.0,False,insufficient_intervals,0.0,0.0,,15,12,True,0,0
chb01,chb01_01.edf,4.0,centered,42,no_drive,,0.9605984988978551,undefined_spectral_ratio,ok,,,,,,,,14,12,,1,0
chb01,chb01_01.edf,4.0,centered,43,driven,-15.013473948930109,0.7816642741518455,ok,ok,1.6,0.0,False,insufficient_intervals,0.0,0.0,,14,12,True,0,0
chb01,chb01_01.edf,4.0,centered,43,no_drive,,0.7927189995908239,undefined_spectral_ratio,ok,,,,,,,,14,12,,1,0
chb01,chb01_01.edf,4.0,centered,44,driven,-16.15329563023825,0.5817771800451791,ok,ok,1.6,0.0,True,ok,6.0,5.0,0.7563250410841427,11,10,True,0,0
chb01,chb01_01.edf,4.0,centered,44,no_drive,,0.5848473317658375,undefined_spectral_ratio,ok,,,,,,,,11,10,,1,0
chb01,chb01_01.edf,4.0,centered,45,driven,-15.472688616672846,0.26769318484348065,ok,ok,1.6,0.0,False,insufficient_intervals,1.0,0.0,,5,4,True,0,0
chb01,chb01_01.edf,4.0,centered,45,no_drive,,0.26769318484348065,undefined_spectral_ratio,ok,,,,,,,,5,4,,1,0
chb01,chb01_01.edf,4.0,centered,46,driven,-23.322899361489455,0.2896246553566815,ok,ok,1.6,0.0,False,insufficient_intervals,2.0,1.0,,12,9,True,0,0
chb01,chb01_01.edf,4.0,centered,46,no_drive,,0.3987812184155495,undefined_spectral_ratio,ok,,,,,,,,12,9,,1,0
chb01,chb01_01.edf,4.0,centered,47,driven,-20.93761387319445,0.20210995870036225,ok,ok,1.6,0.0,False,insufficient_intervals,1.0,0.0,,15,12,True,0,0
chb01,chb01_01.edf,4.0,centered,47,no_drive,,0.20210995870036225,undefined_spectral_ratio,ok,,,,,,,,15,12,,1,0
chb01,chb01_01.edf,4.0,centered,48,driven,-19.702887922767317,0.2595955991194434,ok,ok,1.6,0.0,False,insufficient_intervals,2.0,1.0,,11,9,True,0,0
chb01,chb01_01.edf,4.0,centered,48,no_drive,,0.24627400913203262,undefined_spectral_ratio,ok,,,,,,,,12,10,,1,0
chb01,chb01_01.edf,4.0,centered,49,driven,-14.110698573750902,0.627323804944464,ok,ok,1.6,0.0,False,insufficient_intervals,3.0,2.0,,10,9,True,0,0
chb01,chb01_01.edf,4.0,centered,49,no_drive,,0.627323804944464,undefined_spectral_ratio,ok,,,,,,,,10,9,,1,0
chb01,chb01_01.edf,4.0,centered,50,driven,-14.910357192493642,0.7328027334724222,ok,ok,1.6,0.0,False,insufficient_intervals,4.0,3.0,,8,7,True,0,0
chb01,chb01_01.edf,4.0,centered,50,no_drive,,0.8074795676900143,undefined_spectral_ratio,ok,,,,,,,,9,8,,1,0
chb01,chb01_01.edf,4.0,centered,51,driven,-18.92389244396213,0.4999478380308875,ok,ok,1.6,0.0,False,insufficient_intervals,2.0,1.0,,8,7,True,0,0
chb01,chb01_01.edf,4.0,centered,51,no_drive,,0.512142518543701,undefined_spectral_ratio,ok,,,,,,,,9,7,,1,0
chb01,chb01_01.edf,4.0,centered,52,driven,-13.842031476122852,0.902956554097954,ok,ok,1.6,0.0,False,insufficient_intervals,3.0,2.0,,12,11,True,0,0
chb01,chb01_01.edf,4.0,centered,52,no_drive,,0.8999007741789422,undefined_spectral_ratio,ok,,,,,,,,12,11,,1,0
chb01,chb01_01.edf,4.0,centered,53,driven,-21.35941788649079,0.2798734172940053,ok,ok,1.6,0.0,False,insufficient_intervals,4.0,3.0,,8,7,True,0,0
chb01,chb01_01.edf,4.0,centered,53,no_drive,,0.24511124281430097,undefined_spectral_ratio,ok,,,,,,,,8,6,,1,0
chb01,chb01_01.edf,4.0,centered,54,driven,-7.249288754659818,0.7714565726966235,ok,ok,1.6,0.0,False,insufficient_intervals,0.0,0.0,,12,10,True,0,0
chb01,chb01_01.edf,4.0,centered,54,no_drive,,0.7591525122759742,undefined_spectral_ratio,ok,,,,,,,,12,10,,1,0
chb01,chb01_01.edf,4.0,centered,55,driven,-12.082001190742796,1.1071407888439386,ok,ok,1.6,0.0,False,insufficient_intervals,0.0,0.0,,10,9,True,0,0
chb01,chb01_01.edf,4.0,centered,55,no_drive,,1.0478979712046146,undefined_spectral_ratio,ok,,,,,,,,9,8,,1,0
chb01,chb01_01.edf,4.0,centered,56,driven,-14.265277484599586,0.6955088604656988,ok,ok,1.6,0.0,False,insufficient_intervals,1.0,0.0,,12,11,True,0,0
chb01,chb01_01.edf,4.0,centered,56,no_drive,,0.6932165650682691,undefined_spectral_ratio,ok,,,,,,,,12,11,,1,0
chb01,chb01_01.edf,4.0,centered,57,driven,-17.987916687724624,0.6559552833513658,ok,ok,1.6,0.0,False,insufficient_intervals,4.0,3.0,,11,10,True,0,0
chb01,chb01_01.edf,4.0,centered,57,no_drive,,0.6559552833513658,undefined_spectral_ratio,ok,,,,,,,,11,10,,1,0
chb01,chb01_01.edf,4.0,centered,58,driven,-17.100926918085356,0.4731802290578575,ok,ok,1.6,0.0,False,insufficient_intervals,5.0,4.0,,11,9,True,0,0
chb01,chb01_01.edf,4.0,centered,58,no_drive,,0.44714074497492345,undefined_spectral_ratio,ok,,,,,,,,10,8,,1,0
chb01,chb01_01.edf,4.0,centered,59,driven,-7.731749897801097,0.9535976395037187,ok,ok,1.6,0.0,False,insufficient_intervals,0.0,0.0,,11,8,True,0,0
chb01,chb01_01.edf,4.0,centered,59,no_drive,,0.9535976395037187,undefined_spectral_ratio,ok,,,,,,,,11,8,,1,0
chb01,chb01_01.edf,4.0,centered,60,driven,-17.322634118615873,0.2635963268213933,ok,ok,1.6,0.0,False,insufficient_intervals,4.0,3.0,,10,8,True,0,0
chb01,chb01_01.edf,4.0,centered,60,no_drive,,0.2635963268213933,undefined_spectral_ratio,ok,,,,,,,,10,8,,1,0
chb01,chb01_01.edf,4.0,centered,61,driven,-17.085436657633238,0.2460573561161468,ok,ok,1.6,0.0,False,insufficient_intervals,2.0,1.0,,13,11,True,0,0
chb01,chb01_01.edf,4.0,centered,61,no_drive,,0.2460573561161468,undefined_spectral_ratio,ok,,,,,,,,13,11,,1,0
chb01,chb01_01.edf,1800.0,centered,42,driven,-13.794577492185855,0.9394745874762352,ok,ok,1.6,0.0,False,insufficient_intervals,0.0,0.0,,13,11,True,0,0
chb01,chb01_01.edf,1800.0,centered,42,no_drive,,0.9605984988978551,undefined_spectral_ratio,ok,,,,,,,,14,12,,1,0
chb01,chb01_01.edf,1800.0,centered,43,driven,-17.002418119347823,0.8190856436926941,ok,ok,1.6,0.0,False,insufficient_intervals,0.0,0.0,,15,13,True,0,0
chb01,chb01_01.edf,1800.0,centered,43,no_drive,,0.7927189995908239,undefined_spectral_ratio,ok,,,,,,,,14,12,,1,0
chb01,chb01_01.edf,1800.0,centered,44,driven,-19.879837345220224,0.5817771800451791,ok,ok,1.6,0.0,True,ok,6.0,5.0,0.757975985267183,11,10,True,0,0
chb01,chb01_01.edf,1800.0,centered,44,no_drive,,0.5848473317658375,undefined_spectral_ratio,ok,,,,,,,,11,10,,1,0
chb01,chb01_01.edf,1800.0,centered,45,driven,-19.55239062705767,0.26769318484348065,ok,ok,1.6,0.0,False,insufficient_intervals,1.0,0.0,,5,4,True,0,0
chb01,chb01_01.edf,1800.0,centered,45,no_drive,,0.26769318484348065,undefined_spectral_ratio,ok,,,,,,,,5,4,,1,0
chb01,chb01_01.edf,1800.0,centered,46,driven,-25.00264700563252,0.4030968121819015,ok,ok,1.6,0.0,False,insufficient_intervals,2.0,1.0,,12,9,True,0,0
chb01,chb01_01.edf,1800.0,centered,46,no_drive,,0.3987812184155495,undefined_spectral_ratio,ok,,,,,,,,12,9,,1,0
chb01,chb01_01.edf,1800.0,centered,47,driven,-23.67883403562203,0.265982666145547,ok,ok,1.6,0.0,False,insufficient_intervals,1.0,0.0,,14,12,True,0,0
chb01,chb01_01.edf,1800.0,centered,47,no_drive,,0.20210995870036225,undefined_spectral_ratio,ok,,,,,,,,15,12,,1,0
chb01,chb01_01.edf,1800.0,centered,48,driven,-23.57549306031327,0.4449685279346901,ok,ok,1.6,0.0,False,insufficient_intervals,2.0,1.0,,11,10,True,0,0
chb01,chb01_01.edf,1800.0,centered,48,no_drive,,0.24627400913203262,undefined_spectral_ratio,ok,,,,,,,,12,10,,1,0
chb01,chb01_01.edf,1800.0,centered,49,driven,-19.206116986348306,0.6549590477019663,ok,ok,1.6,0.0,False,insufficient_intervals,1.0,0.0,,11,10,True,0,0
chb01,chb01_01.edf,1800.0,centered,49,no_drive,,0.627323804944464,undefined_spectral_ratio,ok,,,,,,,,10,9,,1,0
chb01,chb01_01.edf,1800.0,centered,50,driven,-18.393846043797065,0.7545803102350118,ok,ok,1.6,0.0,False,insufficient_intervals,4.0,3.0,,11,10,True,0,0
chb01,chb01_01.edf,1800.0,centered,50,no_drive,,0.8074795676900143,undefined_spectral_ratio,ok,,,,,,,,9,8,,1,0
chb01,chb01_01.edf,1800.0,centered,51,driven,-23.401849476796162,0.5865087399906893,ok,ok,1.6,0.0,False,insufficient_intervals,2.0,1.0,,9,8,True,0,0
chb01,chb01_01.edf,1800.0,centered,51,no_drive,,0.512142518543701,undefined_spectral_ratio,ok,,,,,,,,9,7,,1,0
chb01,chb01_01.edf,1800.0,centered,52,driven,-17.056525614954424,1.1413344905927607,ok,ok,1.6,0.0,False,insufficient_intervals,2.0,1.0,,12,9,True,0,0
chb01,chb01_01.edf,1800.0,centered,52,no_drive,,0.8999007741789422,undefined_spectral_ratio,ok,,,,,,,,12,11,,1,0
chb01,chb01_01.edf,1800.0,centered,53,driven,-24.26968153017191,0.24511124281430097,ok,ok,1.6,0.0,False,insufficient_intervals,4.0,3.0,,8,6,True,0,0
chb01,chb01_01.edf,1800.0,centered,53,no_drive,,0.24511124281430097,undefined_spectral_ratio,ok,,,,,,,,8,6,,1,0
chb01,chb01_01.edf,1800.0,centered,54,driven,-11.408654322524669,0.7714565726966235,ok,ok,1.6,0.0,False,insufficient_intervals,0.0,0.0,,12,10,True,0,0
chb01,chb01_01.edf,1800.0,centered,54,no_drive,,0.7591525122759742,undefined_spectral_ratio,ok,,,,,,,,12,10,,1,0
chb01,chb01_01.edf,1800.0,centered,55,driven,-14.69993684664978,1.4797194599301684,ok,ok,1.6,0.0,False,insufficient_intervals,0.0,0.0,,8,7,True,0,0
chb01,chb01_01.edf,1800.0,centered,55,no_drive,,1.0478979712046146,undefined_spectral_ratio,ok,,,,,,,,9,8,,1,0
chb01,chb01_01.edf,1800.0,centered,56,driven,-16.844823323296254,0.6932165650682691,ok,ok,1.6,0.0,False,insufficient_intervals,1.0,0.0,,12,11,True,0,0
chb01,chb01_01.edf,1800.0,centered,56,no_drive,,0.6932165650682691,undefined_spectral_ratio,ok,,,,,,,,12,11,,1,0
chb01,chb01_01.edf,1800.0,centered,57,driven,-22.703883077858002,0.725984212274472,ok,ok,1.6,0.0,False,insufficient_intervals,4.0,3.0,,10,9,True,0,0
chb01,chb01_01.edf,1800.0,centered,57,no_drive,,0.6559552833513658,undefined_spectral_ratio,ok,,,,,,,,11,10,,1,0
chb01,chb01_01.edf,1800.0,centered,58,driven,-20.69814262707082,0.44714074497492345,ok,ok,1.6,0.0,False,insufficient_intervals,5.0,4.0,,10,8,True,0,0
chb01,chb01_01.edf,1800.0,centered,58,no_drive,,0.44714074497492345,undefined_spectral_ratio,ok,,,,,,,,10,8,,1,0
chb01,chb01_01.edf,1800.0,centered,59,driven,-11.127057513209786,0.9628884703032005,ok,ok,1.6,0.0,False,insufficient_intervals,0.0,0.0,,11,8,True,0,0
chb01,chb01_01.edf,1800.0,centered,59,no_drive,,0.9535976395037187,undefined_spectral_ratio,ok,,,,,,,,11,8,,1,0
chb01,chb01_01.edf,1800.0,centered,60,driven,-22.477259373504086,0.2635963268213933,ok,ok,1.6,0.0,False,insufficient_intervals,4.0,3.0,,10,8,True,0,0
chb01,chb01_01.edf,1800.0,centered,60,no_drive,,0.2635963268213933,undefined_spectral_ratio,ok,,,,,,,,10,8,,1,0
chb01,chb01_01.edf,1800.0,centered,61,driven,-20.104066224187893,0.2460573561161468,ok,ok,1.6,0.0,False,insufficient_intervals,2.0,1.0,,13,11,True,0,0
chb01,chb01_01.edf,1800.0,centered,61,no_drive,,0.2460573561161468,undefined_spectral_ratio,ok,,,,,,,,13,11,,1,0
chb01,chb01_01.edf,3592.0,centered,42,driven,-18.405618142487448,0.8846135701161248,ok,ok,2.2,0.0,False,insufficient_intervals,0.0,0.0,,12,10,True,0,0
chb01,chb01_01.edf,3592.0,centered,42,no_drive,,0.9605984988978551,undefined_spectral_ratio,ok,,,,,,,,14,12,,1,0
chb01,chb01_01.edf,3592.0,centered,43,driven,-18.95618640042052,0.8210858044271492,ok,ok,2.2,0.0,False,insufficient_intervals,0.0,0.0,,15,13,True,0,0
chb01,chb01_01.edf,3592.0,centered,43,no_drive,,0.7927189995908239,undefined_spectral_ratio,ok,,,,,,,,14,12,,1,0
chb01,chb01_01.edf,3592.0,centered,44,driven,-22.60063009798251,0.5738531861237478,ok,ok,2.2,0.0,True,ok,6.0,5.0,0.7608158014525248,11,9,True,0,0
