mode,condition,seed,sr_mean,cr_mean,sr_valid,cr_valid
centered,driven,42,-12.291533010687116,0.9445648948944726,135,135
centered,driven,43,-13.49996174603905,0.8375682648288415,135,135
centered,driven,44,-16.903226601856275,0.5992197101579397,135,135
centered,driven,45,-15.227268706879649,0.3300066444973891,135,135
centered,driven,46,-20.163726662248802,0.38386647653655975,135,135
centered,driven,47,-20.11941678569744,0.2302824143910141,135,135
centered,driven,48,-21.410395858316228,0.372388055235982,135,135
centered,driven,49,-15.913904122401032,0.7428741659090049,135,135
centered,driven,50,-17.13345976695733,0.8314084923664163,135,135
centered,driven,51,-19.638929465737284,0.5390267451801967,135,135
centered,driven,52,-15.645610001518795,1.0110109157721077,135,135
centered,driven,53,-22.098096803621456,0.31632301891117687,135,135
centered,driven,54,-10.896797899196013,0.8450090457282116,135,135
centered,driven,55,-10.914918460593464,1.1335471788763485,135,135
centered,driven,56,-17.66293710217917,0.805372472228736,135,135
centered,driven,57,-21.654287292919655,0.6670898730449456,135,135
centered,driven,58,-15.269894291462718,0.4489479403960164,135,135
centered,driven,59,-13.31161067787552,0.9735870664805094,135,135
centered,driven,60,-18.547753019329374,0.2607733294175036,135,135
centered,driven,61,-15.811475063301192,0.23444377254006268,135,135
centered,no_drive,42,,0.960598498897855,0,135
centered,no_drive,43,,0.7927189995908239,0,135
centered,no_drive,44,,0.5848473317658375,0,135
centered,no_drive,45,,0.26769318484348065,0,135
centered,no_drive,46,,0.3987812184155495,0,135
centered,no_drive,47,,0.20210995870036225,0,135
centered,no_drive,48,,0.24627400913203265,0,135
centered,no_drive,49,,0.627323804944464,0,135
centered,no_drive,50,,0.8074795676900143,0,135
centered,no_drive,51,,0.512142518543701,0,135
centered,no_drive,52,,0.8999007741789422,0,135
centered,no_drive,53,,0.245111242814301,0,135
centered,no_drive,54,,0.7591525122759742,0,135
centered,no_drive,55,,1.0478979712046146,0,135
centered,no_drive,56,,0.6932165650682691,0,135
centered,no_drive,57,,0.6559552833513658,0,135
centered,no_drive,58,,0.44714074497492345,0,135
centered,no_drive,59,,0.9535976395037187,0,135
centered,no_drive,60,,0.2635963268213933,0,135
centered,no_drive,61,,0.24605735611614682,0,135
trailing,driven,42,-12.768292306272969,0.9518073367716048,135,135
trailing,driven,43,-13.547830818755175,0.8255689517969171,135,135
trailing,driven,44,-16.998907683195714,0.6007772528740071,135,135
trailing,driven,45,-15.557451027999061,0.37318985104546365,135,135
trailing,driven,46,-20.42844477638526,0.39893215075937605,135,135
trailing,driven,47,-20.362755148042403,0.23583781643647914,135,135
trailing,driven,48,-21.689871545005854,0.37609237264876716,135,135
trailing,driven,49,-16.088548890578753,0.7834782673590618,135,135
trailing,driven,50,-17.641798997839576,0.8322001325707695,135,135
trailing,driven,51,-19.91391997203933,0.5530599048168313,135,135
trailing,driven,52,-15.972468816876034,0.98348632342131,135,135
trailing,driven,53,-22.461446048059592,0.3308460848735946,135,135
trailing,driven,54,-11.17832918429073,0.8435103799824466,135,135
trailing,driven,55,-11.109984906136619,1.1078990201020202,135,135
trailing,driven,56,-18.2376093801797,0.797467074942723,135,135
trailing,driven,57,-22.16697316200551,0.6701405958612047,135,135
trailing,driven,58,-15.428371036461563,0.45784850657992543,135,135
trailing,driven,59,-13.760258800207673,0.9772123914850711,135,135
trailing,driven,60,-18.829984207719203,0.26068396743670696,135,135
trailing,driven,61,-16.060094449589563,0.23548333662566914,135,135
trailing,no_drive,42,,0.960598498897855,0,135
trailing,no_drive,43,,0.7927189995908239,0,135
trailing,no_drive,44,,0.5848473317658375,0,135
trailing,no_drive,45,,0.26769318484348065,0,135
trailing,no_drive,46,,0.3987812184155495,0,135
trailing,no_drive,47,,0.20210995870036225,0,135
trailing,no_drive,48,,0.24627400913203265,0,135
trailing,no_drive,49,,0.627323804944464,0,135
trailing,no_drive,50,,0.8074795676900143,0,135
trailing,no_drive,51,,0.512142518543701,0,135
trailing,no_drive,52,,0.8999007741789422,0,135
trailing,no_drive,53,,0.245111242814301,0,135
trailing,no_drive,54,,0.7591525122759742,0,135
trailing,no_drive,55,,1.0478979712046146,0,135
trailing,no_drive,56,,0.6932165650682691,0,135
trailing,no_drive,57,,0.6559552833513658,0,135
trailing,no_drive,58,,0.44714074497492345,0,135
trailing,no_drive,59,,0.9535976395037187,0,135
trailing,no_drive,60,,0.2635963268213933,0,135
trailing,no_drive,61,,0.24605735611614682,0,135
