patient,channel,count
chb01,C4-P4,1
chb01,CZ-PZ,6
chb01,F3-C3,4
chb01,F4-C4,1
chb01,F7-T7,3
chb01,F8-T8,2
chb01,FP1-F7,1
chb01,FP2-F4,2
chb01,FT10-T8,3
chb01,FT9-FT10,4
chb01,FZ-CZ,6
chb01,P3-O1,2
chb01,P4-O2,4
chb01,P7-O1,2
chb01,P7-T7,1
chb01,P8-O2,3
chb01,T7-FT9,1
chb01,T7-P7,1
chb01,T8-P8,3
chb02,C3-P3,1
chb02,CZ-PZ,6
chb02,F3-C3,3
chb02,F4-C4,2
chb02,F8-T8,3
chb02,FP1-F3,2
chb02,FP1-F7,1
chb02,FP2-F4,4
chb02,FT10-T8,4
chb02,FT9-FT10,8
chb02,FZ-CZ,2
chb02,P4-O2,4
chb02,P7-O1,2
chb02,P7-T7,2
chb02,P8-O2,2
chb02,T7-P7,2
chb02,T8-P8,2
chb03,C4-P4,2
chb03,CZ-PZ,7
chb03,F3-C3,5
chb03,F4-C4,1
chb03,F7-T7,1
chb03,F8-T8,3
chb03,FP1-F3,2
chb03,FP1-F7,2
chb03,FP2-F4,2
chb03,FT10-T8,3
chb03,FT9-FT10,3
chb03,FZ-CZ,3
chb03,P3-O1,1
chb03,P4-O2,6
chb03,P7-O1,2
chb03,P7-T7,1
chb03,P8-O2,3
chb03,T7-P7,1
chb03,T8-P8,2
chb05,C3-P3,2
chb05,C4-P4,1
chb05,CZ-PZ,3
chb05,F3-C3,4
chb05,F7-T7,3
chb05,F8-T8,1
chb05,FP1-F3,1
chb05,FP1-F7,3
chb05,FP2-F8,1
chb05,FT10-T8,2
chb05,FT9-FT10,2
chb05,FZ-CZ,3
chb05,P3-O1,3
chb05,P4-O2,1
chb05,P7-O1,6
chb05,P7-T7,4
chb05,P8-O2,2
chb05,T7-FT9,2
chb05,T7-P7,2
chb05,T8-P8,4
chb08,C3-P3,5
chb08,C4-P4,4
chb08,CZ-PZ,2
chb08,F3-C3,1
chb08,F4-C4,1
chb08,F7-T7,2
chb08,F8-T8,3
chb08,FP1-F3,2
chb08,FP2-F4,4
chb08,FT10-T8,2
chb08,FT9-FT10,8
chb08,FZ-CZ,3
chb08,P3-O1,4
chb08,P4-O2,1
chb08,P8-O2,1
chb08,T7-FT9,3
chb08,T8-P8,4
