patient,recording,arm,windows,eeg_seconds,read_preprocess_seconds,feature_extraction_seconds,inference_seconds,end_to_end_seconds
chb01,chb01_01.edf,teacher,900,3600,2.501147300004959,21.54610340000363,0.04131060000509024,24.08856130001368
chb01,chb01_01.edf,selected_supervised,900,3600,2.501147300004959,21.54610340000363,0.04215029999613762,24.089401000004727
chb01,chb01_01.edf,selected_kd,900,3600,2.501147300004959,21.54610340000363,0.0019839999731630087,24.049234699981753
chb02,chb02_01.edf,teacher,900,3600,1.585024899977725,23.4813302999828,0.013390200037974864,25.0797453999985
chb02,chb02_01.edf,selected_supervised,900,3600,1.585024899977725,23.4813302999828,0.003171499993186444,25.069526699953713
chb02,chb02_01.edf,selected_kd,900,3600,1.585024899977725,23.4813302999828,0.004038700019009411,25.070393899979535
chb03,chb03_01.edf,teacher,900,3600,1.2138062000158243,16.953312999976333,0.009633700014092028,18.17675290000625
chb03,chb03_01.edf,selected_supervised,900,3600,1.2138062000158243,16.953312999976333,0.004230299964547157,18.171349499956705
chb03,chb03_01.edf,selected_kd,900,3600,1.2138062000158243,16.953312999976333,0.0029811999993398786,18.170100399991497
chb05,chb05_01.edf,teacher,902,3608,1.258827099984046,16.894655999960378,0.012446300010196865,18.16592939995462
chb05,chb05_01.edf,selected_supervised,902,3608,1.258827099984046,16.894655999960378,0.004723699996247888,18.15820679994067
chb05,chb05_01.edf,selected_kd,902,3608,1.258827099984046,16.894655999960378,0.0025831999955698848,18.156066299939994
chb08,chb08_02.edf,teacher,900,3600,1.1846247000503354,16.767144199984614,0.012384100002236664,17.964153000037186
chb08,chb08_02.edf,selected_supervised,900,3600,1.1846247000503354,16.767144199984614,0.0024376000510528684,17.954206500086002
chb08,chb08_02.edf,selected_kd,900,3600,1.1846247000503354,16.767144199984614,0.0035232999944128096,17.955292200029362
