feature,fold_count
entropy__perm__F3-C3,1
entropy__perm__F7-T7,1
entropy__perm__FZ-CZ,1
entropy__perm__T7-FT9,1
entropy__perm__T7-P7,1
entropy__spectral__C4-P4,1
entropy__spectral__CZ-PZ,1
entropy__spectral__F3-C3,1
entropy__spectral__F7-T7,1
entropy__spectral__FT9-FT10,1
freq__alpha__C4-P4,1
freq__alpha__CZ-PZ,1
freq__alpha__F3-C3,1
freq__alpha__FT9-FT10,5
freq__alpha__P3-O1,1
freq__alpha__P4-O2,1
freq__alpha__P7-O1,1
freq__alpha__P7-T7,2
freq__alpha__T7-P7,1
freq__alpha__T8-P8,1
freq__beta__CZ-PZ,3
freq__beta__F3-C3,2
freq__beta__F4-C4,1
freq__beta__FT9-FT10,2
freq__beta__FZ-CZ,1
freq__beta__P7-O1,1
freq__delta__C4-P4,2
freq__delta__CZ-PZ,2
freq__delta__F7-T7,1
freq__delta__F8-T8,4
freq__delta__FP1-F3,1
freq__delta__FP2-F4,1
freq__delta__P3-O1,1
freq__delta__P4-O2,3
freq__delta__P7-O1,1
freq__delta__P7-T7,3
freq__delta__P8-O2,4
freq__delta__T7-P7,1
freq__delta__T8-P8,3
freq__gamma__C3-P3,1
freq__gamma__F3-C3,2
freq__gamma__FP1-F3,1
freq__gamma__FT9-FT10,2
freq__gamma__FZ-CZ,1
freq__gamma__P3-O1,1
freq__gamma__P7-O1,3
freq__gamma__P8-O2,1
freq__gamma__T8-P8,2
freq__theta__C3-P3,1
freq__theta__C4-P4,1
freq__theta__F3-C3,2
freq__theta__F4-C4,1
freq__theta__F7-T7,2
freq__theta__F8-T8,5
freq__theta__FP1-F3,1
freq__theta__FP2-F4,4
freq__theta__FP2-F8,1
freq__theta__FT10-T8,3
freq__theta__FT9-FT10,4
freq__theta__FZ-CZ,4
freq__theta__P4-O2,2
freq__theta__P7-O1,1
freq__theta__P8-O2,1
freq__theta__T8-P8,3
hjorth__activity__CZ-PZ,3
hjorth__activity__F3-C3,1
hjorth__activity__F8-T8,1
hjorth__activity__FP1-F3,2
hjorth__activity__FP1-F7,1
hjorth__activity__FT9-FT10,2
hjorth__activity__FZ-CZ,2
hjorth__activity__P4-O2,2
hjorth__activity__P7-O1,1
hjorth__activity__P8-O2,1
hjorth__activity__T8-P8,1
hjorth__complexity__C3-P3,1
hjorth__complexity__C4-P4,1
hjorth__complexity__F7-T7,1
hjorth__complexity__FP2-F4,1
hjorth__complexity__FT10-T8,2
hjorth__complexity__FT9-FT10,1
hjorth__mobility__CZ-PZ,4
hjorth__mobility__F3-C3,2
hjorth__mobility__F7-T7,1
hjorth__mobility__FT10-T8,2
hjorth__mobility__FT9-FT10,3
hjorth__mobility__P7-O1,1
hjorth__mobility__T7-FT9,2
hjorth__mobility__T8-P8,1
time__line_length__C3-P3,1
time__line_length__CZ-PZ,1
time__line_length__FP1-F7,2
time__line_length__FT10-T8,4
time__line_length__FT9-FT10,3
time__line_length__FZ-CZ,2
time__line_length__P3-O1,1
time__line_length__P7-O1,1
time__line_length__P7-T7,1
time__line_length__P8-O2,4
time__line_length__T7-FT9,2
time__line_length__T8-P8,3
time__mean__C3-P3,1
time__mean__T7-P7,1
time__ptp__CZ-PZ,1
time__ptp__F3-C3,1
time__ptp__F4-C4,2
time__ptp__FP1-F3,1
time__ptp__FP1-F7,1
time__ptp__FP2-F4,1
time__ptp__FT10-T8,1
time__ptp__FZ-CZ,1
time__ptp__P4-O2,2
time__ptp__T7-P7,1
time__rms__C3-P3,2
time__rms__C4-P4,2
time__rms__CZ-PZ,5
time__rms__F3-C3,2
time__rms__F7-T7,2
time__rms__F8-T8,2
time__rms__FP1-F7,1
time__rms__FP2-F4,2
time__rms__FT10-T8,1
time__rms__FT9-FT10,1
time__rms__FZ-CZ,3
time__rms__P3-O1,3
time__rms__P4-O2,3
time__rms__P7-O1,1
time__rms__P7-T7,1
time__rms__T7-FT9,1
time__std__C3-P3,1
time__std__CZ-PZ,3
time__std__F3-C3,2
time__std__F4-C4,1
time__std__FP1-F3,1
time__std__FP1-F7,2
time__std__FP2-F4,3
time__std__FT10-T8,1
time__std__FT9-FT10,1
time__std__FZ-CZ,2
time__std__P3-O1,3
time__std__P4-O2,3
time__std__P7-O1,1
time__std__P7-T7,1
time__std__T7-P7,1
time__std__T8-P8,1
