patient,arm,scope,batch,median_ms,p95_ms,repeats
chb01,teacher,feature_table_API_including_transform_and_student_reconstruction,1,1.4545499871019274,1.9561200140742574,30
chb01,teacher,feature_table_API_including_transform_and_student_reconstruction,256,2.5537000328768045,3.905424990807659,30
chb01,selected_supervised,resident_network_including_tensor_conversion,1,0.04719998105429113,0.07389503007289018,100
chb01,selected_supervised,resident_network_including_tensor_conversion,256,0.06734998896718025,0.1223099970957264,100
chb01,selected_supervised,feature_table_API_including_transform_and_student_reconstruction,1,1.6293000080622733,2.3140900186263016,30
chb01,selected_supervised,feature_table_API_including_transform_and_student_reconstruction,256,1.5881999570410699,2.012029997422359,30
chb01,selected_kd,resident_network_including_tensor_conversion,1,0.04295000690035522,0.04910496645607054,100
chb01,selected_kd,resident_network_including_tensor_conversion,256,0.0641999940853566,0.12208499829284845,100
chb01,selected_kd,feature_table_API_including_transform_and_student_reconstruction,1,1.6618499939795583,2.321565011516213,30
chb01,selected_kd,feature_table_API_including_transform_and_student_reconstruction,256,1.799849997041747,2.978870013612322,30
chb02,teacher,feature_table_API_including_transform_and_student_reconstruction,1,2.174349967390299,2.743174982606433,30
chb02,teacher,feature_table_API_including_transform_and_student_reconstruction,256,2.959700010251254,3.7163700297242026,30
chb02,selected_supervised,resident_network_including_tensor_conversion,1,0.046900007873773575,0.06296501378528774,100
chb02,selected_supervised,resident_network_including_tensor_conversion,256,0.0800999696366489,0.20737500162795183,100
chb02,selected_supervised,feature_table_API_including_transform_and_student_reconstruction,1,2.5761500000953674,3.0670550157083194,30
chb02,selected_supervised,feature_table_API_including_transform_and_student_reconstruction,256,2.0147500035818666,2.942915001767687,30
chb02,selected_kd,resident_network_including_tensor_conversion,1,0.04369998350739479,0.13286001922097054,100
chb02,selected_kd,resident_network_including_tensor_conversion,256,0.08364999666810036,0.2876349753933027,100
chb02,selected_kd,feature_table_API_including_transform_and_student_reconstruction,1,2.0489500020630658,2.6737949810922146,30
chb02,selected_kd,feature_table_API_including_transform_and_student_reconstruction,256,1.8549500091467053,2.9306549986358728,30
chb03,teacher,feature_table_API_including_transform_and_student_reconstruction,1,2.0918999798595905,2.860234971740282,30
chb03,teacher,feature_table_API_including_transform_and_student_reconstruction,256,3.3230999833904207,3.807244967902079,30
chb03,selected_supervised,resident_network_including_tensor_conversion,1,0.04614997305907309,0.17365498351864517,100
chb03,selected_supervised,resident_network_including_tensor_conversion,256,0.07749997894279659,0.2733000379521399,100
chb03,selected_supervised,feature_table_API_including_transform_and_student_reconstruction,1,2.3663999745622277,3.31911495886743,30
chb03,selected_supervised,feature_table_API_including_transform_and_student_reconstruction,256,2.6957500085700303,3.5027649952098727,30
chb03,selected_kd,resident_network_including_tensor_conversion,1,0.04369998350739479,0.1396700128680095,100
chb03,selected_kd,resident_network_including_tensor_conversion,256,0.14899999951012433,0.21704996470361948,100
chb03,selected_kd,feature_table_API_including_transform_and_student_reconstruction,1,1.9149500003550202,2.8627650375710796,30
chb03,selected_kd,feature_table_API_including_transform_and_student_reconstruction,256,2.2865000064484775,3.0576299992389977,30
chb05,teacher,feature_table_API_including_transform_and_student_reconstruction,1,1.6924999945331365,2.2544399922480807,30
chb05,teacher,feature_table_API_including_transform_and_student_reconstruction,256,2.9519000090658665,3.975440026260912,30
chb05,selected_supervised,resident_network_including_tensor_conversion,1,0.040000013541430235,0.11840497027151287,100
chb05,selected_supervised,resident_network_including_tensor_conversion,256,0.20520001999102533,0.33365997660439456,100
chb05,selected_supervised,feature_table_API_including_transform_and_student_reconstruction,1,2.5192999746650457,3.314975023386068,30
chb05,selected_supervised,feature_table_API_including_transform_and_student_reconstruction,256,2.290750009706244,3.082949991221539,30
chb05,selected_kd,resident_network_including_tensor_conversion,1,0.047250010538846254,0.13792500249110162,100
chb05,selected_kd,resident_network_including_tensor_conversion,256,0.16840000171214342,0.28201998502481723,100
chb05,selected_kd,feature_table_API_including_transform_and_student_reconstruction,1,2.2715500090271235,2.725164996809326,30
chb05,selected_kd,feature_table_API_including_transform_and_student_reconstruction,256,2.2451500117313117,3.2673100125975907,30
chb08,teacher,feature_table_API_including_transform_and_student_reconstruction,1,1.9519499910529703,2.3159000178566203,30
chb08,teacher,feature_table_API_including_transform_and_student_reconstruction,256,3.039299976080656,3.558799996972084,30
chb08,selected_supervised,resident_network_including_tensor_conversion,1,0.041149993194267154,0.09070498635992402,100
chb08,selected_supervised,resident_network_including_tensor_conversion,256,0.10144998668693006,0.1989200012758374,100
chb08,selected_supervised,feature_table_API_including_transform_and_student_reconstruction,1,2.141449978807941,2.898529998492449,30
chb08,selected_supervised,feature_table_API_including_transform_and_student_reconstruction,256,2.5107999972533435,3.1826850026845928,30
chb08,selected_kd,resident_network_including_tensor_conversion,1,0.048299989430233836,0.16247501189354804,100
chb08,selected_kd,resident_network_including_tensor_conversion,256,0.06874999962747097,0.2011750155361369,100
chb08,selected_kd,feature_table_API_including_transform_and_student_reconstruction,1,1.9108999986201525,2.6221900159725915,30
chb08,selected_kd,feature_table_API_including_transform_and_student_reconstruction,256,2.2112999868113548,3.1174799863947547,30
