patient,feature,family,measure,channel,band
chb01,time__rms__CZ-PZ,time,rms,CZ-PZ,not_applicable
chb01,time__std__CZ-PZ,time,std,CZ-PZ,not_applicable
chb01,hjorth__activity__CZ-PZ,hjorth,activity,CZ-PZ,not_applicable
chb01,freq__gamma__P7-O1,freq,gamma,P7-O1,gamma
chb01,freq__theta__FP2-F4,freq,theta,FP2-F4,theta
chb01,freq__theta__FT9-FT10,freq,theta,FT9-FT10,theta
chb01,time__line_length__P8-O2,time,line_length,P8-O2,not_applicable
chb01,freq__alpha__FT9-FT10,freq,alpha,FT9-FT10,alpha
chb01,freq__gamma__P8-O2,freq,gamma,P8-O2,gamma
chb01,hjorth__mobility__FT9-FT10,hjorth,mobility,FT9-FT10,not_applicable
chb01,time__line_length__P7-O1,time,line_length,P7-O1,not_applicable
chb01,freq__theta__F8-T8,freq,theta,F8-T8,theta
chb01,hjorth__mobility__T7-FT9,hjorth,mobility,T7-FT9,not_applicable
chb01,hjorth__activity__P4-O2,hjorth,activity,P4-O2,not_applicable
chb01,hjorth__activity__FZ-CZ,hjorth,activity,FZ-CZ,not_applicable
chb01,time__ptp__FP1-F7,time,ptp,FP1-F7,not_applicable
chb01,freq__gamma__FZ-CZ,freq,gamma,FZ-CZ,gamma
chb01,freq__delta__F8-T8,freq,delta,F8-T8,delta
chb01,freq__delta__T8-P8,freq,delta,T8-P8,delta
chb01,time__std__FP2-F4,time,std,FP2-F4,not_applicable
chb01,freq__delta__P4-O2,freq,delta,P4-O2,delta
chb01,freq__delta__CZ-PZ,freq,delta,CZ-PZ,delta
chb01,freq__delta__P7-T7,freq,delta,P7-T7,delta
chb01,hjorth__mobility__CZ-PZ,hjorth,mobility,CZ-PZ,not_applicable
chb01,entropy__spectral__F7-T7,entropy,spectral,F7-T7,not_applicable
chb01,hjorth__complexity__C4-P4,hjorth,complexity,C4-P4,not_applicable
chb01,time__rms__FZ-CZ,time,rms,FZ-CZ,not_applicable
chb01,freq__beta__CZ-PZ,freq,beta,CZ-PZ,beta
chb01,freq__theta__F3-C3,freq,theta,F3-C3,theta
chb01,freq__delta__P8-O2,freq,delta,P8-O2,delta
chb01,time__mean__T7-P7,time,mean,T7-P7,not_applicable
chb01,freq__theta__FZ-CZ,freq,theta,FZ-CZ,theta
chb01,freq__theta__FT10-T8,freq,theta,FT10-T8,theta
chb01,time__rms__P3-O1,time,rms,P3-O1,not_applicable
chb01,entropy__perm__F3-C3,entropy,perm,F3-C3,not_applicable
chb01,hjorth__mobility__F7-T7,hjorth,mobility,F7-T7,not_applicable
chb01,time__std__P3-O1,time,std,P3-O1,not_applicable
chb01,hjorth__complexity__FT10-T8,hjorth,complexity,FT10-T8,not_applicable
chb01,freq__theta__T8-P8,freq,theta,T8-P8,theta
chb01,time__ptp__FT10-T8,time,ptp,FT10-T8,not_applicable
chb01,time__std__FZ-CZ,time,std,FZ-CZ,not_applicable
chb01,freq__gamma__FT9-FT10,freq,gamma,FT9-FT10,gamma
chb01,hjorth__mobility__F3-C3,hjorth,mobility,F3-C3,not_applicable
chb01,freq__theta__F7-T7,freq,theta,F7-T7,theta
chb01,freq__theta__F4-C4,freq,theta,F4-C4,theta
chb01,freq__theta__P4-O2,freq,theta,P4-O2,theta
chb01,freq__beta__FZ-CZ,freq,beta,FZ-CZ,beta
chb01,freq__gamma__F3-C3,freq,gamma,F3-C3,gamma
chb01,freq__gamma__T8-P8,freq,gamma,T8-P8,gamma
chb01,time__std__P4-O2,time,std,P4-O2,not_applicable
chb02,time__rms__CZ-PZ,time,rms,CZ-PZ,not_applicable
chb02,time__std__CZ-PZ,time,std,CZ-PZ,not_applicable
chb02,hjorth__activity__CZ-PZ,hjorth,activity,CZ-PZ,not_applicable
chb02,freq__theta__FT10-T8,freq,theta,FT10-T8,theta
chb02,freq__theta__FT9-FT10,freq,theta,FT9-FT10,theta
chb02,time__line_length__FT10-T8,time,line_length,FT10-T8,not_applicable
chb02,hjorth__activity__FT9-FT10,hjorth,activity,FT9-FT10,not_applicable
chb02,time__line_length__P8-O2,time,line_length,P8-O2,not_applicable
chb02,time__rms__FT9-FT10,time,rms,FT9-FT10,not_applicable
chb02,time__rms__FP2-F4,time,rms,FP2-F4,not_applicable
chb02,freq__alpha__FT9-FT10,freq,alpha,FT9-FT10,alpha
chb02,freq__theta__FP2-F4,freq,theta,FP2-F4,theta
chb02,time__rms__F3-C3,time,rms,F3-C3,not_applicable
chb02,freq__delta__P4-O2,freq,delta,P4-O2,delta
chb02,hjorth__mobility__FT9-FT10,hjorth,mobility,FT9-FT10,not_applicable
chb02,freq__delta__P7-T7,freq,delta,P7-T7,delta
chb02,freq__delta__P8-O2,freq,delta,P8-O2,delta
chb02,freq__theta__F8-T8,freq,theta,F8-T8,theta
chb02,hjorth__mobility__CZ-PZ,hjorth,mobility,CZ-PZ,not_applicable
chb02,time__ptp__P4-O2,time,ptp,P4-O2,not_applicable
chb02,time__std__P4-O2,time,std,P4-O2,not_applicable
chb02,time__line_length__T8-P8,time,line_length,T8-P8,not_applicable
chb02,freq__gamma__FP1-F3,freq,gamma,FP1-F3,gamma
chb02,time__rms__P4-O2,time,rms,P4-O2,not_applicable
chb02,freq__delta__F8-T8,freq,delta,F8-T8,delta
chb02,time__std__FP2-F4,time,std,FP2-F4,not_applicable
chb02,freq__beta__CZ-PZ,freq,beta,CZ-PZ,beta
chb02,entropy__perm__T7-P7,entropy,perm,T7-P7,not_applicable
chb02,time__std__F3-C3,time,std,F3-C3,not_applicable
